"location","context","source","target"
"doc.colophon.para.p0010-p0019.d3bdcea7d8","section=colophon;kind=paragraph_block;span=p10-p19;hash=d3bdcea7d8","Luxembourg: Publications Office of the European Union, 2025

© European Union, 2025

The reuse policy of the European Commission documents is implemented by the Commission Decision 2011/833/EU of 12 December 2011 on the reuse of Commission documents (OJ L 330, 14.12.2011, p. 39). Unless otherwise noted, the reuse of this document is authorised under the Creative Commons Attribution 4.0 International (CC BY 4.0) licence (https://creativecommons.org/licenses/by/4.0/). This means that reuse is allowed provided appropriate credit is given and any changes are indicated.

For any use or reproduction of photos or other material that is not owned by the European Union permission must be sought directly from the copyright holders. The European Union does not own the copyright in relation to the following elements:

Decorative elements: © Visual Generation / stock.adobe.com

Chapters images: © fizkes / stock.adobe.com, © Tongpool / stock.adobe.com, © ookawaphoto / stock.adobe.com, © insta_photos / stock.adobe.com, © Jacob Lund / stock.adobe.com

How to cite this report: Cosgrove, J. and Cachia, R., DigComp 3.0: European Digital Competence Framework - Fifth Edition, Publications Office of the European Union, Luxembourg, 2025, https://data.europa.eu/doi/10.2760/0001149, JRC144121.

Layout: Carmen Capote de la Calle","Luxemburg: Publicatiekantoor van de Europese Unie, 2025

© Europese Unie, 2025

Het hergebruikbeleid van de documenten van de Europese Commissie wordt uitgevoerd door het Besluit van de Commissie 2011/833/EU van 12 december 2011 inzake het hergebruik van Commissie-documenten (Pb L 330, 14-12-2011, blz. 39). Tenzij anders vermeld, is het hergebruik van dit document toegestaan onder de licentie Creative Commons Attribution 4.0 International (CC BY 4.0) licentie (https://creativecommons.org/licenses/by/4.0/). Dit betekent dat hergebruik is toegestaan mits de juiste bronvermelding wordt gegeven en eventuele wijzigingen worden aangegeven.

Voor elk gebruik of reproductie van foto's of ander materiaal dat niet eigendom van de Europese Unie is, moet toestemming rechtstreeks worden verkregen van de auteursrechthebbenden. De Europese Unie bezit het auteursrecht niet met betrekking tot de volgende elementen:

Decoratieve elementen: © Visual Generation / stock.adobe.com

Hoofdstukafbeeldingen: © fizkes / stock.adobe.com, © Tongpool / stock.adobe.com, © ookawaphoto / stock.adobe.com, © insta_photos / stock.adobe.com, © Jacob Lund / stock.adobe.com

Hoe dit rapport te citeren: Cosgrove, J. en Cachia, R., DigComp 3.0: Europees kader voor digitale competenties - Vijfde editie, Publicatiebureau van de Europese Unie, Luxemburg, 2025, https://data.europa.eu/doi/10.2760/0001149, JRC144121.

Lay-out: Carmen Capote de la Calle"
"doc.colophon/instructions-for-re-using-the-digcomp-3-0-framework.heading.h2.p0021.6afa39c706","section=colophon/instructions-for-re-using-the-digcomp-3-0-framework;kind=heading;level=2;p=21;hash=6afa39c706","Instructions for re-using the DigComp 3.0 framework:","Instructies voor hergebruik van het DigComp 3.0-kader:"
"doc.colophon/instructions-for-re-using-the-digcomp-3-0-framework.para.p0022-p0031.732eed07df","section=colophon/instructions-for-re-using-the-digcomp-3-0-framework;kind=paragraph_block;span=p22-p31;hash=732eed07df","The published DigComp materials can be re-used – meaning copied, redistributed in any format, adapted, translated, combined or transformed. The European Commission is not liable for any consequences stemming from the reuse.

If re-using, the source should be acknowledged – including both the reference to the source and the link to the source.

It is not permitted to use the logo of the European Commission in any modified versions.

It is not permitted to knowingly distort the original meaning or intent of the published DigComp materials.

For modified, adapted or translated versions of the published DigComp materials, please:

indicate the changes made, the responsible author(s) and/or organisation(s)

include a statement declaring that the Commission is not responsible for the modified, adapted or translated version

avoid implying that the European Commission endorses the modified, adapted or translated version

avoid reproducing unique identifiers (e.g. ISBN, doi) for purposes other than to refer to the source.

More information: Commission Decision on the reuse of Commission documents (2011)","De gepubliceerde DigComp-materialen mogen opnieuw worden gebruikt – dit betekent gekopieerd, herverdeeld in elk formaat, aangepast, vertaald, gecombineerd of getransformeerd kunnen worden. De Europese Commissie is niet aansprakelijk voor eventuele gevolgen die voortvloeien uit het hergebruik.

Bij hergebruik dient de bron te worden vermeld – inclusief zowel de referentie naar de bron als de link naar de bron.

Het is niet toegestaan het logo van de Europese Commissie in welke gewijzigde versie dan ook te gebruiken.

Het is niet toegestaan de oorspronkelijke betekenis of bedoeling van de gepubliceerde DigComp-materialen opzettelijk te verdraaien.

Voor gewijzigde, aangepaste of vertaalde versies van de gepubliceerde DigComp-materialen:

- de aangebrachte wijzigingen, de verantwoordelijke auteur(s) en/of organisatie(n)

- een verklaring toevoegen waarin staat dat de Commissie niet verantwoordelijk is voor de gewijzigde, aangepaste of vertaalde versie

- vermijden dat de Europese Commissie de gewijzigde, aangepaste of vertaalde versie onderschrijft

- het reproduceren van unieke identificatoren (bijv. ISBN, DOI) voor doeleinden anders dan om naar de bron te verwijzen

Meer informatie: Besluit van de Commissie inzake hergebruik van Commissie-documenten (2011)"
"doc.abstract.heading.h1.p0034.e29c6cbd18","section=abstract;kind=heading;level=1;p=34;hash=e29c6cbd18","ABSTRACT","SAMENVATTING"
"doc.abstract.para.p0035-p0035.ed6ea805ca","section=abstract;kind=paragraph_block;span=p35-p35;hash=ed6ea805ca","DigComp 3.0 is the fifth edition of the European Digital Competence Framework. It describes knowledge, skills and attitudes that are needed to be digitally competent for daily life, participation in society, working and learning, and can be used with both children and adults. The framework is technology-neutral and is designed to be tailored and adapted for a variety of purposes in education, training and employment contexts. DigComp is intended for individuals and organisations, whether local, regional, national, European or international, which share the common goal of understanding and identifying digital competence needs and supporting their development. It supports EU policies and initiatives on digital skills (such as the Union of Skills, where DigComp is explicitly mentioned, and the Digital Decade Policy Programme) and the societal and economic implications of the digital transformation (such as the AI Continent Action Plan and the European Strategy for a Better Internet for Kids). DigComp 3.0 incorporates digital technological developments, trends and practices that have occurred since 2022, and which have wide-ranging implications for digital competence. It also includes a new section outlining learning outcomes which provides a more granular view of digital competence that allows easy and consistent interpretation and application of the framework, as well as the systematic and transversal integration of AI competence across the framework.","DigComp 3.0 is de vijfde editie van het Europese Referentiekader voor digitale competenties. Het beschrijft de kennis, vaardigheden en houdingen die nodig zijn om digitaal competent te zijn voor het dagelijks leven, deelname aan de samenleving, werk en leren, en kan worden gebruikt voor zowel kinderen als volwassenen. Het kader is technologieneutraal en is ontworpen om te worden afgestemd op en aangepast voor uiteenlopende doeleinden in de context van onderwijs, opleiding en werkgelegenheid. DigComp is bedoeld voor individuen en organisaties, lokaal, regionaal, nationaal, Europees of internationaal, die het gemeenschappelijke doel delen om behoeften aan digitale competenties te begrijpen en te identificeren en de ontwikkeling ervan te ondersteunen. Het ondersteunt het EU-beleid en de EU-initiatieven op het gebied van digitale vaardigheden (zoals de Union of Skills, waarin DigComp expliciet wordt genoemd, en het beleidsprogramma voor het digitale decennium) en de maatschappelijke en economische gevolgen van de digitale transformatie (zoals het AI Continent Action Plan en de Europese strategie voor een beter internet voor kinderen). DigComp 3.0 bevat digitale technologische ontwikkelingen, trends en praktijken die zich sinds 2022 hebben voorgedaan en die verstrekkende gevolgen hebben voor de digitale competentie. Het bevat ook een nieuw gedeelte met leerresultaten, dat een gedetailleerder beeld geeft van de digitale competentie, waardoor een gemakkelijke en consistente interpretatie en toepassing van het kader mogelijk is, evenals de systematische en transversale integratie van AI-competentie in het gehele kader."
"doc.abstract/expert-contributors.heading.h2.p0037.e7c2e2dbe6","section=abstract/expert-contributors;kind=heading;level=2;p=37;hash=e7c2e2dbe6","Expert contributors","Deskundige bijdragers"
"doc.abstract/expert-contributors.para.p0038-p0038.c4ce0af9de","section=abstract/expert-contributors;kind=paragraph_block;span=p38-p38;hash=c4ce0af9de","This framework has been developed with the expert advice of Ulrike Domany-Funtan, Anastasia Economou, Māra Jākobsone, Lidija Kralj, Stefano Kluzer, Luis Pereira, Yves Punie, Attila Rausch, Arianna Sala, Roland Stürz and Riina Vuorikari.","Dit kader is ontwikkeld met het deskundig advies van Ulrike Domany-Funtan, Anastasia Economou, Māra Jākobsone, Lidija Kralj, Stefano Kluzer, Luis Pereira, Yves Punie, Attila Rausch, Arianna Sala, Roland Stürz en Riina Vuorikari."
"doc.foreword.heading.h1.p0041.58e0733d95","section=foreword;kind=heading;level=1;p=41;hash=58e0733d95","FOREWORD","VOORWOORD"
"doc.foreword.para.p0042-p0055.07d5dae020","section=foreword;kind=paragraph_block;span=p42-p55;hash=07d5dae020","The importance of equipping individuals in Europe with robust digital skills cannot be overstated. As our societies increasingly rely on digital technologies including the

widespread diffusion of AI, the need for digital competence becomes essential for both personal and professional growth.

The Digital Competence Framework (DigComp) outlines the knowledge, skills and attitudes that individuals need to be digitally competent and operational in today’s world. Since its initial publication in 2013, DigComp’s comprehensive scope, scientific robustness and adaptability have driven its widespread adoption in employment, education and training initiatives at international, European, national, regional and local levels. It is also the basis for the Digital Skills Indicator (DSI) to measure digital skills in the European Union (EU) as part of the Digital Decade Policy Programme.

DigComp 3.0, the fifth edition of the framework, is developed by the European Commission’s Joint Research Centre (JRC) in collaboration with the Directorate-General for Employment, Social Affairs and Inclusion (DG EMPL). Aligned with major European policies, DigComp 3.0 also integrates key rights and obligations under EU digital regulations.

This iteration introduces substantial content updates to reflect advancements in AI, cybersecurity, digital rights, choice and responsibility, wellbeing, and the need to tackle increased misinformation. These updates ensure that the framework remains relevant and comprehensive in defining digital competence. DigComp 3.0 includes, for the first time, a learning outcomes approach. This is a well-established policy and practical tool which helps to ensure that the framework is easily and consistently interpreted and applied. Additionally, a linked open data supplement enhances its interface with other machine-readable information, offering new avenues to analyse and bridge digital skills gaps across Europe.

This ambitious version of DigComp underscores the critical role of digital skills for all citizens in Europe, to ensure participation in society, learning, work and social inclusion.

Manuela Geleng
Director
EMPL B – Jobs and Skills
DG Employment, Social Affairs and Inclusion
European Commission

Francesca Campolongo
Director
Directorate T – Digital Transformation and Data
Joint Research Centre European Commission","In het snel veranderende technologische landschap van vandaag zijn digitale vaardigheden essentieel. Het Europees Kader voor Digitale Competentie (DigComp) beschrijft wat nodig is om digitaal competent te zijn in de huidige maatschappij. Deze update van het kader speelt in op digitale technologische ontwikkelingen, trends en praktijken en ondersteunt diverse EU-beleidsinitiatieven op het gebied van digitale vaardigheden. Als generiek, transversaal kader is het niet-voorschrijvend en dient het als uitgangspunt voor het ontwikkelen, actualiseren of evalueren van initiatieven die de ontwikkeling van digitale competentie ondersteunen. In Europa is er een duidelijke behoefte om prioriteit te geven aan digitale competentie. In 2023 beschikte slechts 56% van de volwassenen in de EU over ten minste basis digitale vaardigheden, wat lager is dan de doelstelling van 80% voor 2030. Onder middelbare scholieren ontbrak het in hetzelfde jaar aan 43% van de basis digitale vaardigheden.

Meer dan negen op de tien (92%) werknemers in de EU gebruikten in 2024-2025 digitale technologieën in hun werk en 30% van de EU-werknemers gebruikte in hetzelfde jaar AI-systemen in hun werk. In 2024 gaf 42% van de EU-werknemers aan een tekort aan AI-vaardigheden te hebben, terwijl slechts 15% een AI-vaardigheidstraining had gevolgd.

DigComp bevordert een gedeeld en gemeenschappelijk begrip van digitale competentie – kennis, vaardigheden en attitudes voor het zelfverzekerd, kritisch en verantwoord gebruik van, en de betrokkenheid bij, digitale technologieën voor leren, op het werk en voor deelname aan de samenleving. Het wordt door een grote meerderheid van de EU-lidstaten en daarbuiten, evenals op Europees en internationaal niveau, gebruikt om beleidsvorming te onderbouwen; beoordelingen te ontwikkelen; de transparantie of vergelijkbaarheid van onderwijs- en trainingscursussen te verbeteren; leerervaringen te erkennen of te valideren (bijvoorbeeld via certificering van digitale vaardigheden); en profielen van digitale competentie voor specifieke functies of rollen te definiëren.

De eerste versie van het DigComp-raamwerk werd gepubliceerd in 2013, met updates in 2016, 2017 en 2022. Alle versies van het raamwerk zijn gebaseerd op een wetenschappelijke, op bewijs gebaseerde aanpak en overleg met experts en belanghebbenden. Ook deze versie van DigComp is tot stand gekomen op basis van wetenschappelijk onderzoek en input en feedback van zo'n 300 experts en belanghebbenden met uiteenlopende achtergronden.

Deze update speelt in op belangrijke ontwikkelingen, trends en praktijken met betrekking tot digitale technologieën die zich sinds 2022 hebben voorgedaan. De basis hiervoor ligt in vijf hoofdprioriteiten die zijn vastgesteld in consultaties met experts en belanghebbenden, en in beleids- en academische literatuur: AI-competentie; cybersecuritycompetentie; rechten, keuze en verantwoordelijkheid; welzijn in digitale omgevingen; en competentie om misinformatie en desinformatie te bestrijden. Daarnaast belichaamt DigComp 3.0 de mensgerichte waarden van de Europese Verklaring inzake Digitale Rechten en de Principes voor het Digitale Decennium."
"doc.acknowledgements.heading.h1.p0057.2cdc7ae734","section=acknowledgements;kind=heading;level=1;p=57;hash=2cdc7ae734","ACKNOWLEDGEMENTS","DANKBETUIGING"
"doc.acknowledgements.para.p0059-p0063.ffc046df6e","section=acknowledgements;kind=paragraph_block;span=p59-p63;hash=ffc046df6e","DigComp 3.0 has been published thanks to the contributions and support of many individuals and organisations. We are grateful to the 42 experts who participated in initial meetings in June and October 2024 and in the validation workshop in June 2025: Giovanni Adorni, Michela Bastianelli, Olena Bekh, Denis Bertinchamps, Antonio Blasco López, Paula Bleckman, Linda Castañeda, Jonatan Castaño Muñoz, Stephane Chaudron, Cristina Costa, Mads Ronald Dahl, Veronica Ellis, Neil Farren, Luís Fernández Sanz, Andrei Frank, Ismael García- Varea, María Jesús García San Martín, Angeliki Giannakopoulou, Montse Guitert, Theodora Kakouri, Linda Keane, Kari Kivinen, Dmitrijs Kulss, Roberto Lejarzegi, Olivia Levrini, Margarida Lucas, Cristina Pantiru, Georg Pirker, Anastasia Pouliou, Michaela Preuner, Marelle Rice, Alexander Schmölz, Panagiotis Skiniotis, Vasileios Symeonidis, Iñaki Tellería Olabarrieta, Françoise Tort, Karen Triquet, Sandra Troia, Luis Francisco Vargas-Madriz, Monica Ward, and Daniel Wisiniewski. We also would like to thank Karolina Jakubowska and Ruth Santos O’Brien for supporting the work with experts during 2024.

Thanks to the 260 individuals and organisations from 24 Member States who took part in the DigComp stakeholder consultation, and the 174 individuals who provided feedback to the consultation in April 2025.

We are very grateful to all EC colleagues who have supported, reviewed and provided guidance during this project, namely Ann Branch, Ana Carrero, Julie Fionda, Michael Horgan, Koen Nomden, Céline Jambon, Chiara Riondino, and Melina Tasiovasilis (DG.EMPL), Dana Verbal, Ivana Vrhovski, Simona Petkova (DG.EAC), Johannes Boermann (SG.REFORM), Alina Brebenel (DIGIT), Giulia Carsaniga, Vitis Faure Tilgaard, Giuliana Paes Kotkievicz (DG.CNECT), Antti Luukas Veivo (DG.COMM), Bernd-Roland Killmann (DG.SJ), Nikolaos Apostolou (DG.AGRI), Kari Kivinen, Antoine Aubert, Claire Castel, Véronique Delforge, Ziga Drobnic and Harrie Temminik (EUIPO); to Francesca Campolongo, Michele Vespe, Eva Martinez Rodriguez, Montserrat Lopez-Cóbo, Alice Bertoletti, Clara Centeno, César Herrero, Daniel Villar-Onrubia, Sandrine Wattraint, Isabel Gaton, Silvia Sarti, Sofia Kekampanou, Javier Picon Lorca, Carmen Capote de la Calle, Miriam Giubilei, Francesca Siciliano, Michele Chinosi, Alessandro Miola, Irena Mitton, Andrea Musumeci, Guia Bianchi, Alexander Kotzev, Mario Scharfbillig and Tatiana Somia (JRC).","DigComp 3.0 is gepubliceerd dankzij de bijdragen en steun van vele individuen en organisaties.

Wij zijn dankbaar voor de 42 experts die hebben deelgenomen aan de eerste bijeenkomsten in juni en oktober 2024 en aan de validatieworkshop in juni 2025: Giovanni Adorni, Michela Bastianelli, Olena Bekh, Denis Bertinchamps, Antonio Blasco López, Paula Bleckman, Linda Castañeda, Jonatan Castaño Muñoz, Stephane Chaudron, Cristina Costa, Mads Ronald Dahl, Veronica Ellis, Neil Farren, Luís Fernández Sanz, Andrei Frank, Ismael García- Varea, María Jesús García San Martín, Angeliki Giannakopoulou, Montse Guitert, Theodora Kakouri, Linda Keane, Kari Kivinen, Dmitrijs Kulss, Roberto Lejarzegi, Olivia Levrini, Margarida Lucas, Cristina Pantiru, Georg Pirker, Anastasia Pouliou, Michaela Preuner, Marelle Rice, Alexander Schmölz, Panagiotis Skiniotis, Vasileios Symeonidis, Iñaki Tellería Olabarrieta, Françoise Tort, Karen Triquet, Sandra Troia, Luis Francisco Vargas-Madriz, Monica Ward, en Daniel Wisiniewski. Wij willen ook Karolina Jakubowska en Ruth Santos O’Brien bedanken voor het ondersteunen van het werk met experts gedurende 2024.

Dank aan de 260 individuen en organisaties uit 24 lidstaten die hebben deelgenomen aan de DigComp-stakeholderconsultatie, en de 174 personen die feedback hebben gegeven op de consultatie in april 2025.

Wij zijn zeer dankbaar aan alle EC-collega's die dit project hebben ondersteund, beoordeeld en begeleiding hebben geboden tijdens dit project, namelijk Ann Branch, Ana Carrero, Julie Fionda, Michael Horgan, Koen Nomden, Céline Jambon, Chiara Riondino, en Melina Tasiovasilis (DG.EMPL), Dana Verbal, Ivana Vrhovski, Simona Petkova (DG.EAC), Johannes Boermann (SG.REFORM), Alina Brebenel (DIGIT), Giulia Carsaniga, Vitis Faure Tilgaard, Giuliana Paes Kotkievicz (DG.CNECT), Antti Luukas Veivo (DG.COMM), Bernd-Roland Killmann (DG.SJ), Nikolaos Apostolou (DG.AGRI), Kari Kivinen, Antoine Aubert, Claire Castel, Véronique Delforge, Ziga Drobnic en Harrie Temminik (EUIPO); aan Francesca Campolongo, Michele Vespe, Eva Martinez Rodriguez, Montserrat Lopez-Cóbo, Alice Bertoletti, Clara Centeno, César Herrero, Daniel Villar-Onrubia, Sandrine Wattraint, Isabel Gaton, Silvia Sarti, Sofia Kekampanou, Javier Picon Lorca, Carmen Capote de la Calle, Miriam Giubilei, Francesca Siciliano, Michele Chinosi, Alessandro Miola, Irena Mitton, Andrea Musumeci, Guia Bianchi, Alexander Kotzev, Mario Scharfbillig en Tatiana Somia (JRC)."
"doc.acknowledgements.para.p0065-p0065.87ea80bb85","section=acknowledgements;kind=paragraph_block;span=p65-p65;hash=87ea80bb85","Thanks to our collaborators in ALL DIGITAL, the Digital Education Hub, and the Digital Skills and Jobs Platform for supporting awareness-raising on the development of DigComp 3.0, and to the individuals and organisations that responded to the call for submissions on their work on DigComp: Aarhus University, ALL DIGITAL, Servicios Públicos de Empleo de CCAA y SEPE, AUPEX, CERTIPASS, Cruz Roja Española y Fundación Secretariado Gitano, Digital Skills Office at OeAD, Dipartimento della funzione pubblica, Diputació de Barcelona, Education and Youth Board (Harno), European Council for Steiner Waldorf Education, Finnish National Board of Education, fit4internet, Fundación Cibervoluntarios, HAN University of Applied Sciences, ICDL Foundation, IDCERT, Junta de Castilla y León, Junta de Castilla y León, Latvian Information and Communication Technology Association, Liceo BR Motzo, Lyceum Sykhivsky, National Academy of Medical Sciences of Ukraine, Pix, Quality and Qualifications Ireland, Repubblica Digitale - Dipartimento per la trasformazione digitale, SCRIPT, Secretaría de Estado de Digitalización e Inteligencia Artificial, Sistemi Formativi Confindustria, SMILE Lab, Socialinnov, Technische Hochschule Nürnberg, TECNALIA Research & Innovation, Tknika (Basque Government), Trentino School of Management, Ufficio Scolastico Regionale, Universidad de Castilla- La Mancha, Universitá di Bologna, Universitat Oberta de Catalunya, University of Aveiro, University of Genoa, University of Milano-Bicocca, Victoria Mejias, and Vilnius Coding School.","Dank aan onze medewerkers van ALL DIGITAL, de Digital Education Hub en het Digital Skills and Jobs Platform voor hun steun bij het vergroten van het bewustzijn over de ontwikkeling van DigComp 3.0, en aan de personen en organisaties die hebben gereageerd op de oproep om hun werk over DigComp in te dienen: Universiteit Aarhus, ALL DIGITAL, Servicios Públicos de Empleo de CCAA y SEPE, AUPEX, CERTIPASS, Cruz Roja Española y Fundación Secretariado Gitano, Digital Skills Office bij OeAD, Dipartimento della funzione pubblica, Diputació de Barcelona, Education and Youth Board (Harno), European Council for Steiner Waldorf Education, Finse Nationale Onderwijsraad, fit4internet, Fundación Cibervoluntarios, HAN Hogeschool, ICDL Foundation, IDCERT, Junta de Castilla y León, Junta de Castilla y León, Letse Vereniging voor Informatie- en Communicatietechnologie, Liceo BR Motzo, Lyceum Sykhivsky, Nationale Academie voor Medische Wetenschappen van Oekraïne, Pix, Quality and Qualifications Ireland, Repubblica Digitale - Dipartimento per la trasformazione digitale, SCRIPT, Secretaría de Estado de Digitalización e Inteligencia Artificial, Sistemi Formativi Confindustria, SMILE Lab, Socialinnov, Technische Hochschule Nürnberg, TECNALIA Research & Innovation, Tknika (Baskische regering), Trentino School of Management, Ufficio Scolastico Regionale, Universidad de Castilla-La Mancha, Universitá di Bologna, Universitat Oberta de Catalunya, Universiteit van Aveiro, Universiteit van Genua, Universiteit van Milaan-Bicocca, Victoria Mejias, en Vilnius Coding School."
"doc.acknowledgements/executive-summary.heading.h2.p0067.c61682afc1","section=acknowledgements/executive-summary;kind=heading;level=2;p=67;hash=c61682afc1","EXECUTIVE SUMMARY","MANAGEMENTSAMENVATTING"
