"location","context","source","target"
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.a06877d409d8","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","At highly advanced level, individuals assess, evaluate and resolve highly complex or specialised problems to create new solutions or adapt existing ones, leading and guiding others if and as required.","Op zeer gevorderd niveau beoordelen, evalueren en lossen individuen zeer complexe of gespecialiseerde problemen op om nieuwe oplossingen te creëren of bestaande aan te passen, waarbij ze anderen leiden en begeleiden indien nodig."
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.145b684860f6","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","At the bottom of the Highly Advanced level, individuals assess highly complex or specialised problems and may contribute to new solutions or adapt existing ones, leading and guiding others if and as required.","Aan de onderkant van het zeer gevorderde niveau beoordelen individuen zeer complexe of gespecialiseerde problemen en kunnen ze bijdragen aan nieuwe oplossingen of bestaande oplossingen aanpassen, waarbij ze anderen leiden en begeleiden indien nodig."
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.e98eedbe0ccb","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","To support personal, learning and/ or working goals, help others to participate effectively in society, lead or support others to achieve complex goals, and/or lead or contribute to improvements in or new solutions for highly complex problems.","Ter ondersteuning van persoonlijke, leer- en/of werkdoelen, om anderen te helpen effectief deel te nemen aan de samenleving, om anderen te leiden of te ondersteunen bij het bereiken van complexe doelen, en/of om leiding te geven aan of bij te dragen aan verbeteringen in of nieuwe oplossingen voor zeer complexe problemen."
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.25bbd3c1c93f.1","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","Highly advanced","Zeer gevorderd"
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.db387b3ac1ad","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","8","8"
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.a25a7a0e4943.1","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","C2","C2"
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.a06877d409d8.1","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","At highly advanced level, individuals assess, evaluate and resolve highly complex or specialised problems to create new solutions or adapt existing ones, leading and guiding others if and as required.","Op zeer gevorderd niveau beoordelen, evalueren en lossen individuen zeer complexe of gespecialiseerde problemen op om nieuwe oplossingen te creëren of bestaande aan te passen, waarbij ze anderen leiden en begeleiden indien nodig."
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.419940657c93","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","At the top of the Highly Advanced level, individuals lead and guide others on the creation of solutions to highly complex or specialised problems.","Aan de bovenkant van het zeer gevorderde niveau leiden en begeleiden individuen anderen bij het creëren van oplossingen voor zeer complexe of gespecialiseerde problemen."
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.e98eedbe0ccb.1","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","To support personal, learning and/ or working goals, help others to participate effectively in society, lead or support others to achieve complex goals, and/or lead or contribute to improvements in or new solutions for highly complex problems.","Ter ondersteuning van persoonlijke, leer- en/of werkdoelen, om anderen te helpen effectief deel te nemen aan de samenleving, om anderen te leiden of te ondersteunen bij het bereiken van complexe doelen, en/of om leiding te geven aan of bij te dragen aan verbeteringen in of nieuwe oplossingen voor zeer complexe problemen."
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.paragraph.b09196b3179d.2","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|paragraph","Source: JRC own elaboration.","Bron: eigen uitwerking JRC."
"doc.annexes.annex_2:_digcomp_3.0_learning_outcomes.a2.1_features.paragraph.eafadfdaf541","annexes.annex_2:_digcomp_3.0_learning_outcomes.a2.1_features|paragraph","Each DigComp 3.0 learning outcome statement follows the same structure, verb(s) followed by object. See Table A4 for some examples.","Elke leerresultaatverklaring in DigComp 3.0 volgt dezelfde structuur: werkwoord(en) gevolgd door een object. Zie tabel A4 voor enkele voorbeelden."
"doc.annexes.annex_2:_digcomp_3.0_learning_outcomes.a2.1_features.paragraph.b4301ad7ddfc","annexes.annex_2:_digcomp_3.0_learning_outcomes.a2.1_features|paragraph","Table A4: Examples of learning outcome statements.","Tabel A4: Voorbeelden van leerresultaatverklaringen."
"doc.annexes.annex_2:_digcomp_3.0_learning_outcomes.a2.1_features.paragraph.59e53e9d334c","annexes.annex_2:_digcomp_3.0_learning_outcomes.a2.1_features|paragraph","Example","Voorbeeld"
"doc.annexes.annex_2:_digcomp_3.0_learning_outcomes.a2.1_features.table_cell.18144315272c","annexes.annex_2:_digcomp_3.0_learning_outcomes.a2.1_features|table_cell","Aspect","Aspect"
"doc.annexes.annex_2:_digcomp_3.0_learning_outcomes.a2.1_features.table_cell.2203f35c4c2d","annexes.annex_2:_digcomp_3.0_learning_outcomes.a2.1_features|table_cell","Purpose","Doel"
"doc.annexes.annex_2:_digcomp_3.0_learning_outcomes.a2.1_features.table_cell.f8b1c05c352d","annexes.annex_2:_digcomp_3.0_learning_outcomes.a2.1_features|table_cell","Competence","Competentie"
"doc.annexes.annex_2:_digcomp_3.0_learning_outcomes.a2.1_features.table_cell.64ca77242cfe","annexes.annex_2:_digcomp_3.0_learning_outcomes.a2.1_features|table_cell","Proficiency level","Beheersingsniveau"
"doc.annexes.annex_2:_digcomp_3.0_learning_outcomes.a2.1_features.table_cell.5acd40049d7e","annexes.annex_2:_digcomp_3.0_learning_outcomes.a2.1_features|table_cell","Learning outcome statement","Leerresultaatverklaring"
"doc.annexes.annex_2:_digcomp_3.0_learning_outcomes.a2.1_features.table_cell.9cbb305c4d30","annexes.annex_2:_digcomp_3.0_learning_outcomes.a2.1_features|table_cell","Knowledge","Kennis"
"doc.annexes.annex_2:_digcomp_3.0_learning_outcomes.a2.1_features.table_cell.50ad0471fc8c","annexes.annex_2:_digcomp_3.0_learning_outcomes.a2.1_features|table_cell","Describe information or concepts that an individual needs to comprehend and apply.","Het beschrijven van informatie of concepten die een individu moet begrijpen en toepassen."
"doc.annexes.annex_2:_digcomp_3.0_learning_outcomes.a2.1_features.table_cell.8091cdebfa2c","annexes.annex_2:_digcomp_3.0_learning_outcomes.a2.1_features|table_cell","2.6 Managing digital identity","2.6 Beheren van de digitale identiteit"
"doc.annexes.annex_2:_digcomp_3.0_learning_outcomes.a2.1_features.table_cell.edd87defc66c","annexes.annex_2:_digcomp_3.0_learning_outcomes.a2.1_features|table_cell","Basic","Basis"
"doc.annexes.annex_2:_digcomp_3.0_learning_outcomes.a2.1_features.table_cell.b6acace963ac","annexes.annex_2:_digcomp_3.0_learning_outcomes.a2.1_features|table_cell","Identify common forms and uses of digital identity.","Veelvoorkomende vormen en toepassingen van digitale identiteit identificeren."
"doc.annexes.annex_2:_digcomp_3.0_learning_outcomes.a2.1_features.table_cell.b62e4490c05c","annexes.annex_2:_digcomp_3.0_learning_outcomes.a2.1_features|table_cell","Skills","Vaardigheden"
"doc.annexes.annex_2:_digcomp_3.0_learning_outcomes.a2.1_features.table_cell.1e293cdd375a","annexes.annex_2:_digcomp_3.0_learning_outcomes.a2.1_features|table_cell","Describe the processes by which an individual can complete a specific task.","Het beschrijven van de processen waarmee een individu een specifieke taak kan voltooien."
"doc.annexes.annex_2:_digcomp_3.0_learning_outcomes.a2.1_features.table_cell.d2326a7868db","annexes.annex_2:_digcomp_3.0_learning_outcomes.a2.1_features|table_cell","1.1 Browsing, searching and filtering information and content","1.1 Bladeren, zoeken en filteren van informatie en inhoud"
"doc.annexes.annex_2:_digcomp_3.0_learning_outcomes.a2.1_features.table_cell.69a6f3344f5f","annexes.annex_2:_digcomp_3.0_learning_outcomes.a2.1_features|table_cell","Intermediate","Gemiddeld"
"doc.annexes.annex_2:_digcomp_3.0_learning_outcomes.a2.1_features.table_cell.528fe586c963","annexes.annex_2:_digcomp_3.0_learning_outcomes.a2.1_features|table_cell","Select appropriate digital search tools based on information needs.","Geschikte digitale zoekhulpmiddelen selecteren op basis van informatiebehoeften."
"doc.annexes.annex_2:_digcomp_3.0_learning_outcomes.a2.1_features.table_cell.4e983ba695ba","annexes.annex_2:_digcomp_3.0_learning_outcomes.a2.1_features|table_cell","Attitudes","Houding"
"doc.annexes.annex_2:_digcomp_3.0_learning_outcomes.a2.1_features.table_cell.29a70a46161c","annexes.annex_2:_digcomp_3.0_learning_outcomes.a2.1_features|table_cell","Orient the focus of the individual, to enable confident, critical and responsible use of digital technologies.","De focus van het individu richten om zelfverzekerd, kritisch en verantwoord gebruik van digitale technologieën mogelijk te maken."
"doc.annexes.annex_2:_digcomp_3.0_learning_outcomes.a2.1_features.table_cell.a5d46c84acb9","annexes.annex_2:_digcomp_3.0_learning_outcomes.a2.1_features|table_cell","3.2 Integrating and re- elaborating digital content","3.2 Integreren en herbewerken van digitale inhoud"
"doc.annexes.annex_2:_digcomp_3.0_learning_outcomes.a2.1_features.table_cell.8dc3d613cdc3","annexes.annex_2:_digcomp_3.0_learning_outcomes.a2.1_features|table_cell","Advanced","Gevorderd"
"doc.annexes.annex_2:_digcomp_3.0_learning_outcomes.a2.1_features.table_cell.c40d7dce301c","annexes.annex_2:_digcomp_3.0_learning_outcomes.a2.1_features|table_cell","Prioritise transparent and ethical practices in digital content integration and re-elaboration tasks.","Prioriteit geven aan transparante en ethische praktijken bij taken voor de integratie en herbewerking van digitale inhoud."
"doc.annexes.annex_2:_digcomp_3.0_learning_outcomes.a2.1_features.paragraph.2025a07b3f7c","annexes.annex_2:_digcomp_3.0_learning_outcomes.a2.1_features|paragraph","Source: JRC own elaboration.","Bron: eigen uitwerking JRC."
"doc.annexes.annex_2:_digcomp_3.0_learning_outcomes.a2.1_features.paragraph.daa2ef9c6310","annexes.annex_2:_digcomp_3.0_learning_outcomes.a2.1_features|paragraph","Table A5 lists examples of verbs for learning outcomes describing knowledge, skills and attitudes at Basic, Intermediate, Advanced and Highly Advanced levels. The choice of verbs is guided by Bloom’s taxonomy (Anderson & Krathwohl, 2001), considering also relevant features of other taxonomies (e.g. Irvine, 2021). Some verbs repeat across levels in Table A5. This is intentional, since the content of learning outcomes does not only vary by cognitive demand (which is suggested by the verb) but also varies in level of complexity and autonomy (which are suggested in the object of each learning outcome statement). Box A1 summarises the main features of the DigComp 3.0 learning outcomes.","Tabel A5 geeft voorbeelden van werkwoorden voor leerresultaten die kennis, vaardigheden en houding beschrijven op de niveaus Basis, Gemiddeld, Gevorderd en Zeer gevorderd. De keuze van de werkwoorden is gebaseerd op de taxonomie van Bloom (Anderson & Krathwohl, 2001), rekening houdend met relevante kenmerken van andere taxonomieën (bijv. Irvine, 2021). Sommige werkwoorden worden herhaald over de niveaus in tabel A5. Dit is opzettelijk, aangezien de inhoud van de leerresultaten niet alleen varieert op basis van cognitieve belasting (gesuggereerd door het werkwoord), maar ook varieert in niveau van complexiteit en autonomie (gesuggereerd in het object van elke leerresultaatverklaring). Kader A1 vat de belangrijkste kenmerken van de DigComp 3.0-leerresultaten samen."
"doc.annexes.annex_2:_digcomp_3.0_learning_outcomes.a2.1_features.paragraph.b4f75bd932df","annexes.annex_2:_digcomp_3.0_learning_outcomes.a2.1_features|paragraph","No Knowledge-based learning outcomes are included in the Highly Advanced level. Rather, the Attitudinal learning outcomes at Highly Advanced level capture a general disposition to staying informed about developments in relation to that competence, in line with the literature on self-directed learning (e.g. Morris, 2023).","Er zijn geen op kennis gebaseerde leerresultaten opgenomen in het Zeer gevorderde niveau. In plaats daarvan vatten de op houding gebaseerde leerresultaten op het Zeer gevorderde niveau een algemene instelling samen om op de hoogte te blijven van ontwikkelingen met betrekking tot die competentie, in lijn met de literatuur over zelfgestuurd leren (bijv. Morris, 2023)."
"doc.annexes.annex_2:_digcomp_3.0_learning_outcomes.a2.1_features.paragraph.5ff93be46143","annexes.annex_2:_digcomp_3.0_learning_outcomes.a2.1_features|paragraph","Table A5: Examples of verbs used for learning outcomes describing knowledge, skills and attitudes.11","Tabel A5: Voorbeelden van werkwoorden die worden gebruikt voor leerresultaten die kennis, vaardigheden en houding beschrijven."
"doc.annexes.annex_2:_digcomp_3.0_learning_outcomes.a2.1_features.table_cell.c5eeef3077dc","annexes.annex_2:_digcomp_3.0_learning_outcomes.a2.1_features|table_cell","Level","Niveau"
"doc.annexes.annex_2:_digcomp_3.0_learning_outcomes.a2.1_features.table_cell.e2edd0b94f4a","annexes.annex_2:_digcomp_3.0_learning_outcomes.a2.1_features|table_cell","Short Description of proficiency level","Korte beschrijving van het beheersingsniveau"
"doc.annexes.annex_2:_digcomp_3.0_learning_outcomes.a2.1_features.table_cell.9d9d30950ef0","annexes.annex_2:_digcomp_3.0_learning_outcomes.a2.1_features|table_cell","Examples of verbs used in learning outcomes statements","Voorbeelden van werkwoorden die worden gebruikt in leerresultaatverklaringen"
"doc.annexes.annex_2:_digcomp_3.0_learning_outcomes.a2.1_features.table_cell.edd87defc66c.1","annexes.annex_2:_digcomp_3.0_learning_outcomes.a2.1_features|table_cell","Basic","Basis"
"doc.annexes.annex_2:_digcomp_3.0_learning_outcomes.a2.1_features.table_cell.4cc31dfa5de9","annexes.annex_2:_digcomp_3.0_learning_outcomes.a2.1_features|table_cell","Remember and implement simple tasks with guidance as needed.","Onthouden en uitvoeren van eenvoudige taken met begeleiding waar nodig."
"doc.annexes.annex_2:_digcomp_3.0_learning_outcomes.a2.1_features.table_cell.02551e5e9222","annexes.annex_2:_digcomp_3.0_learning_outcomes.a2.1_features|table_cell","Knowledge: Recognise, Identify, Distinguish between\nSkills: Use, Apply, Implement\nAttitudes: Acknowledge the importance, Acknowledge the benefits","Kennis: Herkennen, Identificeren, Onderscheid maken tussen\nVaardigheden: Gebruiken, Toepassen, Implementeren\nHouding: Het belang erkennen, De voordelen erkennen"
"doc.annexes.annex_2:_digcomp_3.0_learning_outcomes.a2.1_features.table_cell.69a6f3344f5f.1","annexes.annex_2:_digcomp_3.0_learning_outcomes.a2.1_features|table_cell","Intermediate","Gemiddeld"
"doc.annexes.annex_2:_digcomp_3.0_learning_outcomes.a2.1_features.table_cell.6e33ba068c8c","annexes.annex_2:_digcomp_3.0_learning_outcomes.a2.1_features|table_cell","Identify and implement well-defined tasks and solve well-defined problems autonomously.","Autonoom identificeren en uitvoeren van welomschreven taken en oplossen van welomschreven problemen."
