"location","context","source","target"
"doc.annexes.a2.3_learning_outcomes.table_cell.5219599e6d56.105","annexes.a2.3_learning_outcomes|table_cell","Intermediate","Gemiddeld"
"doc.annexes.a2.3_learning_outcomes.table_cell.704444417b6e","annexes.a2.3_learning_outcomes|table_cell","Assess the accessibility, inclusivity, fairness and/or rights-sensitivity of digital technologies in a given context.","De toegankelijkheid, inclusiviteit, eerlijkheid en/of rechtengevoeligheid van digitale technologieën beoordelen in een gegeven context."
"doc.annexes.a2.3_learning_outcomes.table_cell.19894f0a1736.84","annexes.a2.3_learning_outcomes|table_cell","Advanced","Gevorderd"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.139","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.209","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.dfa8b6921f79","annexes.a2.3_learning_outcomes|table_cell","LO5.2.14","LO5.2.14"
"doc.annexes.a2.3_learning_outcomes.table_cell.1678d67aa19c","annexes.a2.3_learning_outcomes|table_cell","Support others to make informed use of digital assistance tools, and adjustments to digital environment configurations, to meet their own and others' needs.","Anderen ondersteunen bij het geïnformeerd gebruikmaken van digitale hulpmiddelen en aanpassingen aan digitale omgevingsconfiguraties om te voldoen aan hun eigen behoeften en die van anderen."
"doc.annexes.a2.3_learning_outcomes.table_cell.19894f0a1736.85","annexes.a2.3_learning_outcomes|table_cell","Advanced","Gevorderd"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.140","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.210","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.aab1db7dadc5","annexes.a2.3_learning_outcomes|table_cell","LO5.2.15","LO5.2.15"
"doc.annexes.a2.3_learning_outcomes.table_cell.192f3effe732","annexes.a2.3_learning_outcomes|table_cell","Promote and support the use of inclusive and accessible digital technologies.","Het gebruik van inclusieve en toegankelijke digitale technologieën bevorderen en ondersteunen."
"doc.annexes.a2.3_learning_outcomes.table_cell.befe7e438300.66","annexes.a2.3_learning_outcomes|table_cell","Highly advanced","Zeer gevorderd"
"doc.annexes.a2.3_learning_outcomes.table_cell.70d2e7904e30.66","annexes.a2.3_learning_outcomes|table_cell","Attitude","Houding"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.211","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.d6d9ea5db550","annexes.a2.3_learning_outcomes|table_cell","LO5.2.16","LO5.2.16"
"doc.annexes.a2.3_learning_outcomes.table_cell.af4e29ecab9e","annexes.a2.3_learning_outcomes|table_cell","Assess complex needs of individuals to identify and/or design tailored digital solutions.","Complexe behoeften van individuen beoordelen om op maat gemaakte digitale oplossingen te identificeren en/of te ontwerpen."
"doc.annexes.a2.3_learning_outcomes.table_cell.befe7e438300.67","annexes.a2.3_learning_outcomes|table_cell","Highly advanced","Zeer gevorderd"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.141","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.212","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.50528e912a5b","annexes.a2.3_learning_outcomes|table_cell","LO5.2.17","LO5.2.17"
"doc.annexes.a2.3_learning_outcomes.table_cell.f856ab70dc4d","annexes.a2.3_learning_outcomes|table_cell","Contribute to improvements in digital assistance tools, accessible digital environment configurations, and/or assistive technologies.","Bijdragen aan verbeteringen in digitale hulpmiddelen, toegankelijke digitale omgevingsconfiguraties en/of ondersteunende technologieën."
"doc.annexes.a2.3_learning_outcomes.table_cell.befe7e438300.68","annexes.a2.3_learning_outcomes|table_cell","Highly advanced","Zeer gevorderd"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.142","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.213","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.paragraph.07be1f2db5b7","annexes.a2.3_learning_outcomes|paragraph","COMPETENCE AREA 5: PROBLEM IDENTIFICATION AND SOLVING - Competence 5.3 Creatively using digital technologies","COMPETENTIEGEBIED 5: PROBLEEMIDENTIFICATIE EN -OPLOSSING - Competentie 5.3 Creatief gebruik van digitale technologieën"
"doc.annexes.a2.3_learning_outcomes.paragraph.dddde90bda26.14","annexes.a2.3_learning_outcomes|paragraph","Back to Section 3","Terug naar Sectie 3"
"doc.annexes.a2.3_learning_outcomes.table_cell.7f105e626849.12","annexes.a2.3_learning_outcomes|table_cell","ID","ID"
"doc.annexes.a2.3_learning_outcomes.table_cell.6b3e8b9eee21.12","annexes.a2.3_learning_outcomes|table_cell","Learning Outcome","Leerresultaat"
"doc.annexes.a2.3_learning_outcomes.table_cell.58455a4223da.12","annexes.a2.3_learning_outcomes|table_cell","Proficiency level","Vaardigheidsniveau"
"doc.annexes.a2.3_learning_outcomes.table_cell.7749ae779807.12","annexes.a2.3_learning_outcomes|table_cell","Knowledge, skill or attitude","Kennis, vaardigheid of houding"
"doc.annexes.a2.3_learning_outcomes.table_cell.37f41acb6b6e.12","annexes.a2.3_learning_outcomes|table_cell","AI label","AI-label"
"doc.annexes.a2.3_learning_outcomes.table_cell.bdc3b4fc7c4f","annexes.a2.3_learning_outcomes|table_cell","LO5.3.01","LO5.3.01"
"doc.annexes.a2.3_learning_outcomes.table_cell.66267017a6ff","annexes.a2.3_learning_outcomes|table_cell","Acknowledge that digital technologies can support, but not replace, human creativity.","Erkennen dat digitale technologieën de menselijke creativiteit kunnen ondersteunen, maar niet vervangen."
"doc.annexes.a2.3_learning_outcomes.table_cell.737fe01ceb40.91","annexes.a2.3_learning_outcomes|table_cell","Basic","Basis"
"doc.annexes.a2.3_learning_outcomes.table_cell.70d2e7904e30.67","annexes.a2.3_learning_outcomes|table_cell","Attitude","Houding"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.214","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.7301d8ae6688","annexes.a2.3_learning_outcomes|table_cell","LO5.3.02","LO5.3.02"
"doc.annexes.a2.3_learning_outcomes.table_cell.8e3cf722b0d4","annexes.a2.3_learning_outcomes|table_cell","Identify examples of how digital technologies are used to solve real-world problems and to make improvements to or create new solutions for products and services.","Voorbeelden identificeren van hoe digitale technologieën worden gebruikt om problemen in de echte wereld op te lossen en om verbeteringen aan te brengen in of nieuwe oplossingen te creëren voor producten en diensten."
"doc.annexes.a2.3_learning_outcomes.table_cell.737fe01ceb40.92","annexes.a2.3_learning_outcomes|table_cell","Basic","Basis"
"doc.annexes.a2.3_learning_outcomes.table_cell.99a3d093575a.143","annexes.a2.3_learning_outcomes|table_cell","Knowledge","Kennis"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.215","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.46f6fbcaa667","annexes.a2.3_learning_outcomes|table_cell","LO5.3.03","LO5.3.03"
"doc.annexes.a2.3_learning_outcomes.table_cell.42d7b7934e70","annexes.a2.3_learning_outcomes|table_cell","Identify examples of where digital technologies can support or augment human creativity.","Voorbeelden identificeren van waar digitale technologieën de menselijke creativiteit kunnen ondersteunen of vergroten."
"doc.annexes.a2.3_learning_outcomes.table_cell.737fe01ceb40.93","annexes.a2.3_learning_outcomes|table_cell","Basic","Basis"
"doc.annexes.a2.3_learning_outcomes.table_cell.99a3d093575a.144","annexes.a2.3_learning_outcomes|table_cell","Knowledge","Kennis"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.216","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.c69eaf36bdc9","annexes.a2.3_learning_outcomes|table_cell","LO5.3.04","LO5.3.04"
"doc.annexes.a2.3_learning_outcomes.table_cell.61012948d917","annexes.a2.3_learning_outcomes|table_cell","Acknowledge the importance of placing human rights, values, needs and experiences at the centre of digital technologies design and use.","Het belang erkennen van het centraal stellen van mensenrechten, waarden, behoeften en ervaringen bij het ontwerp en gebruik van digitale technologieën."
"doc.annexes.a2.3_learning_outcomes.table_cell.5219599e6d56.108","annexes.a2.3_learning_outcomes|table_cell","Intermediate","Gemiddeld"
"doc.annexes.a2.3_learning_outcomes.table_cell.70d2e7904e30.68","annexes.a2.3_learning_outcomes|table_cell","Attitude","Houding"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.217","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.a2958387a175","annexes.a2.3_learning_outcomes|table_cell","LO5.3.05","LO5.3.05"
"doc.annexes.a2.3_learning_outcomes.table_cell.afb4a1863eef","annexes.a2.3_learning_outcomes|table_cell","Define the concept of human-centric and its role in digital technologies development and usage.","Het concept 'mensgericht' definiëren en de rol ervan in de ontwikkeling en het gebruik van digitale technologieën."
"doc.annexes.a2.3_learning_outcomes.table_cell.5219599e6d56.109","annexes.a2.3_learning_outcomes|table_cell","Intermediate","Gemiddeld"
"doc.annexes.a2.3_learning_outcomes.table_cell.99a3d093575a.145","annexes.a2.3_learning_outcomes|table_cell","Knowledge","Kennis"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.218","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.6902a71af413","annexes.a2.3_learning_outcomes|table_cell","LO5.3.06","LO5.3.06"
"doc.annexes.a2.3_learning_outcomes.table_cell.d02bee2b2703","annexes.a2.3_learning_outcomes|table_cell","Identify examples of the interplay between humans and digital technologies in creativity and problem- solving.","Voorbeelden identificeren van de wisselwerking tussen mens en digitale technologie bij creativiteit en probleemoplossing."
"doc.annexes.a2.3_learning_outcomes.table_cell.5219599e6d56.110","annexes.a2.3_learning_outcomes|table_cell","Intermediate","Gemiddeld"
"doc.annexes.a2.3_learning_outcomes.table_cell.99a3d093575a.146","annexes.a2.3_learning_outcomes|table_cell","Knowledge","Kennis"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.219","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.23f200ec287f","annexes.a2.3_learning_outcomes|table_cell","LO5.3.07","LO5.3.07"
"doc.annexes.a2.3_learning_outcomes.table_cell.f48f2d31d9c1","annexes.a2.3_learning_outcomes|table_cell","Describe strengths, weaknesses and ethical considerations of digital technologies including AI systems in relation to human creativity and problem-solving.","De sterke en zwakke punten en ethische overwegingen van digitale technologieën beschrijven, inclusief AI-systemen, in relatie tot menselijke creativiteit en probleemoplossing."
"doc.annexes.a2.3_learning_outcomes.table_cell.5219599e6d56.111","annexes.a2.3_learning_outcomes|table_cell","Intermediate","Gemiddeld"
"doc.annexes.a2.3_learning_outcomes.table_cell.99a3d093575a.147","annexes.a2.3_learning_outcomes|table_cell","Knowledge","Kennis"
"doc.annexes.a2.3_learning_outcomes.table_cell.f189d8dbcf94.56","annexes.a2.3_learning_outcomes|table_cell","AI-Explicit","AI-expliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.ecb7bc05224e","annexes.a2.3_learning_outcomes|table_cell","LO5.3.08","LO5.3.08"
"doc.annexes.a2.3_learning_outcomes.table_cell.bff91d58152a","annexes.a2.3_learning_outcomes|table_cell","Assess strengths and weaknesses of available digital technologies in relation to a particular problem-solving task.","De sterke en zwakke punten van beschikbare digitale technologieën beoordelen in relatie tot een specifieke probleemoplossende taak."
"doc.annexes.a2.3_learning_outcomes.table_cell.5219599e6d56.112","annexes.a2.3_learning_outcomes|table_cell","Intermediate","Gemiddeld"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.143","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.220","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.da0eab31473c","annexes.a2.3_learning_outcomes|table_cell","LO5.3.09","LO5.3.09"
"doc.annexes.a2.3_learning_outcomes.table_cell.137f0ab3f6ef","annexes.a2.3_learning_outcomes|table_cell","Use a variety of digital technologies responsibly and ethically to support problem-solving as an individual or in a group.","Een verscheidenheid aan digitale technologieën verantwoord en ethisch gebruiken om probleemoplossing te ondersteunen als individu of in een groep."
"doc.annexes.a2.3_learning_outcomes.table_cell.5219599e6d56.113","annexes.a2.3_learning_outcomes|table_cell","Intermediate","Gemiddeld"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.144","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.221","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.ccfef9d2319d","annexes.a2.3_learning_outcomes|table_cell","LO5.3.10","LO5.3.10"
"doc.annexes.a2.3_learning_outcomes.table_cell.3c27554fe4d1","annexes.a2.3_learning_outcomes|table_cell","Prioritise human-centric approaches in one's own use of digital technologies for problem-solving.","Prioriteit geven aan mensgerichte benaderingen bij het eigen gebruik van digitale technologieën voor probleemoplossing."
"doc.annexes.a2.3_learning_outcomes.table_cell.19894f0a1736.86","annexes.a2.3_learning_outcomes|table_cell","Advanced","Gevorderd"
"doc.annexes.a2.3_learning_outcomes.table_cell.70d2e7904e30.69","annexes.a2.3_learning_outcomes|table_cell","Attitude","Houding"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.222","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.5bfedb89da9a","annexes.a2.3_learning_outcomes|table_cell","LO5.3.11","LO5.3.11"
"doc.annexes.a2.3_learning_outcomes.table_cell.19aef9d4ba48","annexes.a2.3_learning_outcomes|table_cell","Use a variety of digital technologies efficiently, responsibly and ethically to help solve complex problems.","Een verscheidenheid aan digitale technologieën efficiënt, verantwoord en ethisch gebruiken om te helpen complexe problemen op te lossen."
"doc.annexes.a2.3_learning_outcomes.table_cell.19894f0a1736.87","annexes.a2.3_learning_outcomes|table_cell","Advanced","Gevorderd"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.145","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.223","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.912ad71c74ea","annexes.a2.3_learning_outcomes|table_cell","LO5.3.12","LO5.3.12"
"doc.annexes.a2.3_learning_outcomes.table_cell.a99b3abe71cd","annexes.a2.3_learning_outcomes|table_cell","Contribute to initiatives focused on the application of digital technologies to help solve complex problem- solving tasks.","Bijdragen aan initiatieven gericht op de toepassing van digitale technologieën om te helpen bij het oplossen van complexe probleemoplossende taken."
"doc.annexes.a2.3_learning_outcomes.table_cell.19894f0a1736.88","annexes.a2.3_learning_outcomes|table_cell","Advanced","Gevorderd"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.146","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.224","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.35e9f84857a0","annexes.a2.3_learning_outcomes|table_cell","LO5.3.13","LO5.3.13"
"doc.annexes.a2.3_learning_outcomes.table_cell.6a6a25e2b2ac","annexes.a2.3_learning_outcomes|table_cell","Support others to develop their confidence and capabilities in using digital technologies to help solve real- world problems.","Anderen ondersteunen bij het ontwikkelen van hun vertrouwen en capaciteiten in het gebruik van digitale technologieën om te helpen problemen in de echte wereld op te lossen."
"doc.annexes.a2.3_learning_outcomes.table_cell.19894f0a1736.89","annexes.a2.3_learning_outcomes|table_cell","Advanced","Gevorderd"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.147","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.225","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.12665b7555bc","annexes.a2.3_learning_outcomes|table_cell","LO5.3.14","LO5.3.14"
"doc.annexes.a2.3_learning_outcomes.table_cell.8a1da914a2e8","annexes.a2.3_learning_outcomes|table_cell","Lead or contribute to initiatives focused on the application of digital technologies for highly complex or specialised problem-solving.","Initiatieven leiden of eraan bijdragen die gericht zijn op de toepassing van digitale technologieën voor zeer complexe of gespecialiseerde probleemoplossing."
"doc.annexes.a2.3_learning_outcomes.table_cell.befe7e438300.69","annexes.a2.3_learning_outcomes|table_cell","Highly advanced","Zeer gevorderd"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.148","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.226","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.b80011ab56a8","annexes.a2.3_learning_outcomes|table_cell","LO5.3.15","LO5.3.15"
"doc.annexes.a2.3_learning_outcomes.table_cell.eca121a32ed1","annexes.a2.3_learning_outcomes|table_cell","Lead or contribute to initiatives that use digital technologies to help make improvements to or find new solutions for real-world problems.","Initiatieven leiden of eraan bijdragen die digitale technologieën gebruiken om te helpen verbeteringen aan te brengen in of nieuwe oplossingen te vinden voor problemen in de echte wereld."
"doc.annexes.a2.3_learning_outcomes.table_cell.befe7e438300.70","annexes.a2.3_learning_outcomes|table_cell","Highly advanced","Zeer gevorderd"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.149","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.227","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.7424b501a442","annexes.a2.3_learning_outcomes|table_cell","LO5.3.16","LO5.3.16"
"doc.annexes.a2.3_learning_outcomes.table_cell.49965375b423","annexes.a2.3_learning_outcomes|table_cell","Support others to develop their capabilities to use digital technologies for complex or specialised problem- solving tasks.","Anderen ondersteunen bij het ontwikkelen van hun vermogens om digitale technologieën te gebruiken voor complexe of gespecialiseerde probleemoplossende taken."
"doc.annexes.a2.3_learning_outcomes.table_cell.befe7e438300.71","annexes.a2.3_learning_outcomes|table_cell","Highly advanced","Zeer gevorderd"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.150","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.228","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.paragraph.511bcabf0a87","annexes.a2.3_learning_outcomes|paragraph","COMPETENCE AREA 5: PROBLEM IDENTIFICATION AND SOLVING - Competence 5.4 Identifying and addressing digital competence needs","COMPETENTIEGEBIED 5: PROBLEEMIDENTIFICATIE EN -OPLOSSING - Competentie 5.4 Identificeren en aanpakken van digitale competentiebehoeften"
"doc.annexes.a2.3_learning_outcomes.paragraph.dddde90bda26.15","annexes.a2.3_learning_outcomes|paragraph","Back to Section 3","Terug naar Sectie 3"
"doc.annexes.a2.3_learning_outcomes.table_cell.7f105e626849.13","annexes.a2.3_learning_outcomes|table_cell","ID","ID"
"doc.annexes.a2.3_learning_outcomes.table_cell.6b3e8b9eee21.13","annexes.a2.3_learning_outcomes|table_cell","Learning Outcome","Leerresultaat"
"doc.annexes.a2.3_learning_outcomes.table_cell.58455a4223da.13","annexes.a2.3_learning_outcomes|table_cell","Proficiency level","Vaardigheidsniveau"
"doc.annexes.a2.3_learning_outcomes.table_cell.7749ae779807.13","annexes.a2.3_learning_outcomes|table_cell","Knowledge, skill or attitude","Kennis, vaardigheid of houding"
"doc.annexes.a2.3_learning_outcomes.table_cell.37f41acb6b6e.13","annexes.a2.3_learning_outcomes|table_cell","AI label","AI-label"
"doc.annexes.a2.3_learning_outcomes.table_cell.1f45c9011948","annexes.a2.3_learning_outcomes|table_cell","LO5.4.01","LO5.4.01"
"doc.annexes.a2.3_learning_outcomes.table_cell.8e7fc7e8bb96","annexes.a2.3_learning_outcomes|table_cell","Acknowledge the value of learning about digital technologies in relation to one's own interests and needs.","De waarde erkennen van het leren over digitale technologieën in relatie tot de eigen interesses en behoeften."
"doc.annexes.a2.3_learning_outcomes.table_cell.737fe01ceb40.94","annexes.a2.3_learning_outcomes|table_cell","Basic","Basis"
"doc.annexes.a2.3_learning_outcomes.table_cell.70d2e7904e30.70","annexes.a2.3_learning_outcomes|table_cell","Attitude","Houding"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.229","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.083ca6b08ada","annexes.a2.3_learning_outcomes|table_cell","LO5.4.02","LO5.4.02"
"doc.annexes.a2.3_learning_outcomes.table_cell.04c685b787f5","annexes.a2.3_learning_outcomes|table_cell","Acknowledge the benefits and commonplace nature of seeking support in addressing digital competence needs.","De voordelen en het alledaagse karakter erkennen van het zoeken naar ondersteuning bij het aanpakken van digitale competentiebehoeften."
"doc.annexes.a2.3_learning_outcomes.table_cell.737fe01ceb40.95","annexes.a2.3_learning_outcomes|table_cell","Basic","Basis"
"doc.annexes.a2.3_learning_outcomes.table_cell.70d2e7904e30.71","annexes.a2.3_learning_outcomes|table_cell","Attitude","Houding"
"doc.annexes.a2.3_learning_outcomes.table_cell.7c28f1540ccb.84","annexes.a2.3_learning_outcomes|table_cell","AI not Implicit or Explicit","AI niet impliciet of expliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.9984b85ce036","annexes.a2.3_learning_outcomes|table_cell","LO5.4.03","LO5.4.03"
"doc.annexes.a2.3_learning_outcomes.table_cell.6be569984c48","annexes.a2.3_learning_outcomes|table_cell","Recognise that digital competence is much broader than technical skills.","Erkennen dat digitale competentie veel breder is dan technische vaardigheden."
"doc.annexes.a2.3_learning_outcomes.table_cell.737fe01ceb40.96","annexes.a2.3_learning_outcomes|table_cell","Basic","Basis"
"doc.annexes.a2.3_learning_outcomes.table_cell.99a3d093575a.148","annexes.a2.3_learning_outcomes|table_cell","Knowledge","Kennis"
