"location","context","source","target"
"doc.glossary_of_terms_and_definitions.table_cell.36aee4372b7b","glossary_of_terms_and_definitions|table_cell","Cambridge Dictionary: Intellectu- al property","Cambridge Dictionary: Intellectueel eigendom"
"doc.glossary_of_terms_and_definitions.table_cell.6e0deb85a5b3","glossary_of_terms_and_definitions|table_cell","A term from the behavioural sciences which refers to any attempt at influencing people’s judgment, choice or behaviour by making use of knowledge about cognitive boundaries, biases, routines, and habits in individual and social decision-making.","Een term uit de gedragswetenschappen die verwijst naar elke poging om het oordeel, de keuze of het gedrag van mensen te beïnvloeden door gebruik te maken van kennis over cognitieve grenzen, vooroordelen, routines en gewoonten in individuele en sociale besluitvorming."
"doc.glossary_of_terms_and_definitions.table_cell.6eae2bc04052","glossary_of_terms_and_definitions|table_cell","Adapted from Hansen (2016)","Aangepast op basis van Hansen (2016)"
"doc.glossary_of_terms_and_definitions.table_cell.a218d828a603","glossary_of_terms_and_definitions|table_cell","Online platform","Online platform"
"doc.glossary_of_terms_and_definitions.table_cell.ee958ce22113.1","glossary_of_terms_and_definitions|table_cell","See Digital platforms and services.","Zie Digitale platforms en diensten."
"doc.glossary_of_terms_and_definitions.table_cell.0a35770c0f09","glossary_of_terms_and_definitions|table_cell","Online service","Online dienst"
"doc.glossary_of_terms_and_definitions.table_cell.ee958ce22113.2","glossary_of_terms_and_definitions|table_cell","See Digital platforms and services.","Zie Digitale platforms en diensten."
"doc.glossary_of_terms_and_definitions.table_cell.b558578e4d55","glossary_of_terms_and_definitions|table_cell","Open data","Open data"
"doc.glossary_of_terms_and_definitions.table_cell.b2eece44aa85","glossary_of_terms_and_definitions|table_cell","Data that are openly accessible, exploitable, editable and shareable by anyone for any purpose. Open data are generally licensed under an open license (one which grants permission to access, re- use and redistribute a work with few or no restrictions).","Gegevens die openlijk toegankelijk, exploiteerbaar, bewerkbaar en deelbaar zijn door iedereen voor elk doel. Open data worden over het algemeen gelicentieerd onder een open licentie (een licentie die toestemming verleent om een werk te raadplegen, te hergebruiken en te herverdelen met weinig of geen beperkingen)."
"doc.glossary_of_terms_and_definitions.table_cell.2505e1678381","glossary_of_terms_and_definitions|table_cell","Adapted from DemocracyTech- nologies and Wikipedia: Open data","Aangepast op basis van DemocracyTechnologies en Wikipedia: Open data"
"doc.glossary_of_terms_and_definitions.table_cell.7eefc0670146","glossary_of_terms_and_definitions|table_cell","Open educational resources (OER)","Open leermiddelen (OER)"
"doc.glossary_of_terms_and_definitions.table_cell.25c1659987b7","glossary_of_terms_and_definitions|table_cell","Digital materials offered freely and openly for teaching, learning and research. Open educational resources include learning content, software tools to develop, use and distribute content, and implementation resources such as open licences.","Digitale materialen die vrij en open worden aangeboden voor onderwijs, leren en onderzoek. Open leermiddelen omvatten leerinhoud, softwaretools om inhoud te ontwikkelen, te gebruiken en te distribueren, en implementatiemiddelen zoals open licenties."
"doc.glossary_of_terms_and_definitions.table_cell.aa068841ae39.4","glossary_of_terms_and_definitions|table_cell","Adapted from Cedefop Terminol- ogy of European education and training policy","Aangepast op basis van Cedefop Terminology of European education and training policy"
"doc.glossary_of_terms_and_definitions.table_cell.e41fca2db330.10","glossary_of_terms_and_definitions|table_cell","Term","Term"
"doc.glossary_of_terms_and_definitions.table_cell.a38b183a73f4.10","glossary_of_terms_and_definitions|table_cell","Explanation","Uitleg"
"doc.glossary_of_terms_and_definitions.table_cell.47e6738d3091.10","glossary_of_terms_and_definitions|table_cell","Source(s)","Bron(nen)"
"doc.glossary_of_terms_and_definitions.table_cell.f191f5ae4508","glossary_of_terms_and_definitions|table_cell","Operating system","Besturingssysteem"
"doc.glossary_of_terms_and_definitions.table_cell.95cbc73ada99","glossary_of_terms_and_definitions|table_cell","A digital device’s system software that manages computer hardware and software resources to provide common services for computer programs.","De systeemsoftware van een digitaal apparaat die de hardware en softwarebronnen van de computer beheert om algemene diensten voor computerprogramma's te leveren."
"doc.glossary_of_terms_and_definitions.table_cell.d76cc5c7a82d","glossary_of_terms_and_definitions|table_cell","Adapted from GeeksforGeeks and Wikipedia: Operating system","Aangepast op basis van GeeksforGeeks en Wikipedia: Operating system"
"doc.glossary_of_terms_and_definitions.table_cell.cc4df249a925","glossary_of_terms_and_definitions|table_cell","Peripheral device","Randapparaat (Peripheral device)"
"doc.glossary_of_terms_and_definitions.table_cell.15e7361f7280","glossary_of_terms_and_definitions|table_cell","Any hardware device that is not part of a computer device’s central processing unit or motherboard. It does not contribute to the primary function of a computer system but rather helps users access and use additional functionalities given by that device’s association with the computer. Peripheral devices cover a wide range, including input devices (e.g. keyboard, mouse, microphone), output devices (e.g. screen, headphones, speaker), peripheral storage devices (e.g. external hard drive), internal peripheral devices (e.g. memory card, graphics card) and external devices (e.g. webcam).","Elk hardwareapparaat dat geen deel uitmaakt van de centrale verwerkingseenheid (CPU) of het moederbord van een computer. Het draagt niet bij aan de primaire functie van een computersysteem, maar helpt gebruikers eerder bij de toegang tot en het gebruik van aanvullende functionaliteiten die door de koppeling van dat apparaat met de computer worden geboden. Randapparatuur is zeer divers, waaronder invoerapparaten (bijv. toetsenbord, muis, microfoon), uitvoerapparaten (bijv. scherm, hoofdtelefoon, luidspreker), randapparatuur voor opslag (bijv. externe harde schijf), interne randapparatuur (bijv. geheugenkaart, grafische kaart) en externe apparaten (bijv. webcam)."
"doc.glossary_of_terms_and_definitions.table_cell.0e47fc28c22d","glossary_of_terms_and_definitions|table_cell","Adapted from Digitalworld839. com","Aangepast op basis van Digitalworld839.com"
"doc.glossary_of_terms_and_definitions.table_cell.c5e00c4b9ea5","glossary_of_terms_and_definitions|table_cell","Personal data","Persoonsgegevens"
"doc.glossary_of_terms_and_definitions.table_cell.f08df6728365","glossary_of_terms_and_definitions|table_cell","The data relating to a physical person who with this data can be identified directly or indirectly.","De gegevens die betrekking hebben op een natuurlijk persoon die met deze gegevens direct of indirect kan worden geïdentificeerd."
"doc.glossary_of_terms_and_definitions.table_cell.2962be0dc8c4.1","glossary_of_terms_and_definitions|table_cell","General Data Protection Regula- tion (GDPR) (2018)","Algemene Verordening Gegevensbescherming (AVG) (2018)"
"doc.glossary_of_terms_and_definitions.table_cell.7e820c85fdd1","glossary_of_terms_and_definitions|table_cell","Personalisation","Personalisering"
"doc.glossary_of_terms_and_definitions.table_cell.0b34fced075d","glossary_of_terms_and_definitions|table_cell","Digital services that are tailored to individual users’ interests and preferences, especially through the application of algorithms to the users’ online behaviours.","Digitale diensten die zijn afgestemd op de interesses en voorkeuren van individuele gebruikers, met name door de toepassing van algoritmen op het online gedrag van de gebruikers."
"doc.glossary_of_terms_and_definitions.table_cell.8cdb016bc607.6","glossary_of_terms_and_definitions|table_cell","Adapted from Generative AI Out- look Report (2025)","Aangepast op basis van Generative AI Outlook Report (2025)"
"doc.glossary_of_terms_and_definitions.table_cell.c5e6e5194847","glossary_of_terms_and_definitions|table_cell","Phishing","Phishing"
"doc.glossary_of_terms_and_definitions.table_cell.bd76fa214448.1","glossary_of_terms_and_definitions|table_cell","See Social engineering","Zie Social engineering"
"doc.glossary_of_terms_and_definitions.table_cell.10267beef3a0","glossary_of_terms_and_definitions|table_cell","Piracy","Piraterij"
"doc.glossary_of_terms_and_definitions.table_cell.9382e8817484","glossary_of_terms_and_definitions|table_cell","A form of copyright infringement which involves downloading and digitally distributing copyrighted works, such as music, films or software, without permission. Despite improvements in digital technologies to protect against piracy and the increase in digital entertainment content platforms, piracy rates have been increasing, possibly due to a combination of cost and the fact that many individuals do not perceive piracy to be an ethical issue. Also referred to as online piracy, digital piracy or software piracy.","Een vorm van inbreuk op het auteursrecht waarbij auteursrechtelijk beschermde werken, zoals muziek, films of software, zonder toestemming worden gedownload en digitaal verspreid. Ondanks verbeteringen in digitale technologieën om piraterij tegen te gaan en de toename van digitale platforms voor entertainmentinhoud, nemen de piraterijcijfers toe, mogelijk door een combinatie van kosten en het feit dat veel mensen piraterij niet als een ethisch probleem zien. Ook wel online piraterij, digitale piraterij of softwarepiraterij genoemd."
"doc.glossary_of_terms_and_definitions.table_cell.034f4779ae18","glossary_of_terms_and_definitions|table_cell","Adapted from Wikipedia: Online piracy; see also Muso global piracy industry report (2023)","Aangepast op basis van Wikipedia: Online piraterij; zie ook Muso global piracy industry report (2023)"
"doc.glossary_of_terms_and_definitions.table_cell.73246196cf75","glossary_of_terms_and_definitions|table_cell","Plagiarism","Plagiaat"
"doc.glossary_of_terms_and_definitions.table_cell.774becf73ca9","glossary_of_terms_and_definitions|table_cell","Using someone else’s ideas or work and pretending that it is one’s own. The wide diffusion of AI systems, particularly generative AI, has added a layer of complexity to the ethics of plagiarism as well as an increase in plagiarism detection tools, which vary in their effectiveness.","Het gebruik van de ideeën of het werk van iemand anders en doen alsof het van jezelf is. De brede verspreiding van AI-systemen, met name generatieve AI, heeft een laag van complexiteit toegevoegd aan de ethiek van plagiaat, evenals een toename van tools voor plagiaatdetectie, die variëren in hun effectiviteit."
"doc.glossary_of_terms_and_definitions.table_cell.376f210868aa","glossary_of_terms_and_definitions|table_cell","Adapted from Cambridge Dic- tionary: Plagiarism; see also Kwon (2024)","Aangepast op basis van Cambridge Dictionary: Plagiaat; zie ook Kwon (2024)"
"doc.glossary_of_terms_and_definitions.table_cell.bb4dfc8b3dfd","glossary_of_terms_and_definitions|table_cell","Platform economy","Platformeconomie"
"doc.glossary_of_terms_and_definitions.table_cell.769825a43357","glossary_of_terms_and_definitions|table_cell","Digital matching companies that use online platforms to connect service providers with consumers, facilitating peer-to-peer transactions and enabling value-creating interactions within a network. These platforms serve as technological infrastructures for exchanging goods and services among various groups of producers and consumers.","Digitale matchingbedrijven die online platforms gebruiken om dienstverleners met consumenten te verbinden, peer-to-peer transacties vergemakkelijken en waardecreërende interacties binnen een netwerk mogelijk maken. Deze platforms dienen als technologische infrastructuren voor het uitwisselen van goederen en diensten tussen verschillende groepen producenten en consumenten."
"doc.glossary_of_terms_and_definitions.table_cell.3c7dbb6bdd01","glossary_of_terms_and_definitions|table_cell","Adapted from ScienceDirect","Aangepast op basis van ScienceDirect"
"doc.glossary_of_terms_and_definitions.table_cell.38f698ebf4b7","glossary_of_terms_and_definitions|table_cell","Pre-bunking","Pre-bunking"
"doc.glossary_of_terms_and_definitions.table_cell.1a3a224bcf28","glossary_of_terms_and_definitions|table_cell","A set of strategies that individuals can employ to build pre-emptive resilience to misinformation, by addressing misinformation sources at a higher level than their specific misinformation claims.","Een reeks strategieën die individuen kunnen inzetten om preventieve weerbaarheid tegen misinformatie op te bouwen, door bronnen van misinformatie op een hoger niveau aan te pakken dan hun specifieke beweringen."
"doc.glossary_of_terms_and_definitions.table_cell.a48ed7f8c829","glossary_of_terms_and_definitions|table_cell","Adapted from Harjani et al. (2022)","Aangepast op basis van Harjani et al. (2022)"
"doc.glossary_of_terms_and_definitions.table_cell.c083a700475c","glossary_of_terms_and_definitions|table_cell","Privacy","Privacy"
"doc.glossary_of_terms_and_definitions.table_cell.b87d8e8e2d5c","glossary_of_terms_and_definitions|table_cell","In the context of legislation such as the General Data Protection Regulation (GDPR, 2018), data privacy refers to the empowerment of users to make their own decisions about who can process their data, and for what purpose.","In de context van wetgeving zoals de Algemene Verordening Gegevensbescherming (AVG, 2018), verwijst dataprivacy naar het in staat stellen van gebruikers om hun eigen beslissingen te nemen over wie hun gegevens mag verwerken, en voor welk doel."
"doc.glossary_of_terms_and_definitions.table_cell.1ef672dafa32","glossary_of_terms_and_definitions|table_cell","Adapted from GDPR.eu","Aangepast op basis van GDPR.eu"
"doc.glossary_of_terms_and_definitions.table_cell.e41fca2db330.11","glossary_of_terms_and_definitions|table_cell","Term","Term"
"doc.glossary_of_terms_and_definitions.table_cell.a38b183a73f4.11","glossary_of_terms_and_definitions|table_cell","Explanation","Uitleg"
"doc.glossary_of_terms_and_definitions.table_cell.47e6738d3091.11","glossary_of_terms_and_definitions|table_cell","Source(s)","Bron(nen)"
"doc.glossary_of_terms_and_definitions.table_cell.8971dc0096c6","glossary_of_terms_and_definitions|table_cell","Privacy tool","Privacyhulpmiddel"
"doc.glossary_of_terms_and_definitions.table_cell.82f863fd0a0e","glossary_of_terms_and_definitions|table_cell","A digital technology that protects the privacy of the user, typically working together with internet usage to control or limit the amount of user information that is shared to third parties. There are two main types of privacy tools. The first type is protecting a user’s Internet privacy from the World Wide Web. There are software products that will mask or hide a user’s IP address from the outside world to protect the user from identity theft. The second type of protection is hiding or deleting a user’s internet traces that are on their device as a result of using the internet.","Een digitale technologie die de privacy van de gebruiker beschermt, meestal in combinatie met internetgebruik om de hoeveelheid gebruikersinformatie die met derden wordt gedeeld te controleren of te beperken. Er zijn twee hoofdtypen privacyhulpmiddelen. Het eerste type is het beschermen van de internetprivacy van een gebruiker tegen het World Wide Web. Er zijn softwareproducten die het IP-adres van een gebruiker maskeren of verbergen voor de buitenwereld om de gebruiker te beschermen tegen identiteitsdiefstal. Het tweede type bescherming is het verbergen of verwijderen van internetsporen van een gebruiker die op zijn apparaat staan als gevolg van internetgebruik."
"doc.glossary_of_terms_and_definitions.table_cell.ea06d90a932c","glossary_of_terms_and_definitions|table_cell","Adapted from Wikipedia: Privacy software","Aangepast op basis van Wikipedia: Privacy software"
"doc.glossary_of_terms_and_definitions.table_cell.c0bac34f8009","glossary_of_terms_and_definitions|table_cell","Problem solving","Probleemoplossing"
"doc.glossary_of_terms_and_definitions.table_cell.42b336841422","glossary_of_terms_and_definitions|table_cell","Engaging in cognitive and metacognitive processes individually or with others to achieve a task where the method of solution is not immediately obvious. It includes identifying and defining the problem, searching for information, and testing and applying one or more potential solutions, and is done at least partially in a digital environment.","Het individueel of met anderen aangaan van cognitieve en metacognitieve processen om een taak te volbrengen waarbij de oplossingsmethode niet direct voor de hand ligt. Het omvat het identificeren en definiëren van het probleem, het zoeken naar informatie, en het testen en toepassen van een of meer mogelijke oplossingen, en wordt ten minste gedeeltelijk in een digitale omgeving gedaan."
"doc.glossary_of_terms_and_definitions.table_cell.0b6fbf2a385f","glossary_of_terms_and_definitions|table_cell","Concepts drawn from OECD (2017) and OECD (2021)","Concepten ontleend aan OESO (2017) en OESO (2021)"
"doc.glossary_of_terms_and_definitions.table_cell.eefd9cf453dc","glossary_of_terms_and_definitions|table_cell","Proficiency level","Beheersingsniveau"
"doc.glossary_of_terms_and_definitions.table_cell.993ba1d8c8ab","glossary_of_terms_and_definitions|table_cell","In DigComp 3.0, proficiency levels describe the level of acquisition of an individual of a digital competence, according to cognitive challenge, task complexity and level of autonomy. DigComp 3.0 distinguishes between four proficiency levels (Basic, Intermediate, Advanced and Highly Advanced). For existing DigComp users, the relationship between the DigComp 3.0 proficiency levels and previous versions of DigComp is shown in Annex 1 of the DigComp 3.0 framework.","In DigComp 3.0 beschrijven beheersingsniveaus het niveau van verwerving van een digitale competentie door een individu, op basis van cognitieve uitdaging, taakcomplexiteit en mate van autonomie. DigComp 3.0 onderscheidt vier beheersingsniveaus (Basis, Gemiddeld, Gevorderd en Zeer gevorderd). Voor bestaande DigComp-gebruikers wordt de relatie tussen de DigComp 3.0 beheersingsniveaus en vorige versies van DigComp getoond in bijlage 1 van het DigComp 3.0-kader."
"doc.glossary_of_terms_and_definitions.table_cell.1f1c023ce840","glossary_of_terms_and_definitions|table_cell","DigComp 2.1 (2017)","DigComp 2.1 (2017)"
"doc.glossary_of_terms_and_definitions.table_cell.e9cfef21c116","glossary_of_terms_and_definitions|table_cell","Pseudonymisation","Pseudonimisering"
"doc.glossary_of_terms_and_definitions.table_cell.a790058d2309","glossary_of_terms_and_definitions|table_cell","In the General Data Protection Regulation (GDPR, 2018), pseudonymisation refers to the processing of personal data in such a manner that the data can no longer be attributed to a specific data subject without the use of additional information, provided that such additional information is kept separately and is subject to technical and organisational measures to ensure that the personal data are not attributed to an identified or identifiable natural person.","In de Algemene Verordening Gegevensbescherming (AVG, 2018) verwijst pseudonimisering naar het verwerken van persoonsgegevens op een zodanige wijze dat de persoonsgegevens niet meer aan een specifieke betrokkene kunnen worden gekoppeld zonder dat er aanvullende gegevens worden gebruikt, mits deze aanvullende gegevens apart worden bewaard en technische en organisatorische maatregelen zijn genomen om ervoor te zorgen dat de persoonsgegevens niet aan een geïdentificeerde of identificeerbare natuurlijke persoon worden gekoppeld."
"doc.glossary_of_terms_and_definitions.table_cell.accc6843e1a8","glossary_of_terms_and_definitions|table_cell","GDPR.eu","GDPR.eu"
"doc.glossary_of_terms_and_definitions.table_cell.d74942bf42bb","glossary_of_terms_and_definitions|table_cell","Responsible use (of digital technologies)","Verantwoord gebruik (van digitale technologieën)"
"doc.glossary_of_terms_and_definitions.table_cell.769e378df697","glossary_of_terms_and_definitions|table_cell","The conscious, ethical, and effective use of digital technologies to maximise their benefits and minimise their risks.","Het bewuste, ethische en effectieve gebruik van digitale technologieën om de voordelen ervan te maximaliseren en de risico's te minimaliseren."
"doc.glossary_of_terms_and_definitions.table_cell.2194bbd728fe","glossary_of_terms_and_definitions|table_cell","Zamora (2024)","Zamora (2024)"
"doc.glossary_of_terms_and_definitions.table_cell.ac431ac17c18","glossary_of_terms_and_definitions|table_cell","Reality-virtuality (RV) continuum","Realiteit-virtualiteit (RV) continuüm"
"doc.glossary_of_terms_and_definitions.table_cell.41a41b149570","glossary_of_terms_and_definitions|table_cell","Originally proposed in the 1990s for visual displays, the reality-virtuality (RV) continuum has a purely real environment at one end, consisting solely of real objects, and at the other end, a purely virtual environment, consisting solely of virtual objects. Any environment which consists of blending real and virtual objects is termed Mixed Reality (MR). Mixed reality environments where the real world is augmented with virtual content are called augmented reality (AR), while those where most of the content is virtual but there is some awareness or inclusion of real-world objects are called augmented virtuality (AV). The concept was updated in 2021 to cover sensory input in addition to visual.","Oorspronkelijk voorgesteld in de jaren '90 voor visuele displays, heeft het realiteit-virtualiteit (RV) continuüm aan het ene uiteinde een puur reële omgeving, die uitsluitend uit reële objecten bestaat, en aan het andere uiteinde een puur virtuele omgeving, die uitsluitend uit virtuele objecten bestaat. Elke omgeving die bestaat uit het mengen van reële en virtuele objecten wordt Mixed Reality (MR) genoemd. Mixed reality-omgevingen waarbij de reële wereld wordt aangevuld met virtuele inhoud worden augmented reality (AR) genoemd, terwijl omgevingen waarbij het grootste deel van de inhoud virtueel is maar er enig bewustzijn of opname van reële objecten is, augmented virtuality (AV) worden genoemd. Het concept is in 2021 geactualiseerd om naast visuele input ook zintuiglijke input te omvatten."
"doc.glossary_of_terms_and_definitions.table_cell.3481d3d0b5a0","glossary_of_terms_and_definitions|table_cell","Adapted from Milgram et al. (1995) and Skarbez et al. (2021)","Aangepast op basis van Milgram et al. (1995) en Skarbez et al. (2021)"
