"location","context","source","target"
"doc.annexes.a2.3_learning_outcomes.table_cell.2963b034a2a0","annexes.a2.3_learning_outcomes|table_cell","Help others to develop capabilities to critically evaluate information and content in digital environments.","Anderen helpen bij het ontwikkelen van vaardigheden om informatie en inhoud in digitale omgevingen kritisch te evalueren."
"doc.annexes.a2.3_learning_outcomes.table_cell.99a3d093575a.28","annexes.a2.3_learning_outcomes|table_cell","Knowledge","Kennis"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.41","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.2f538c1cdddf","annexes.a2.3_learning_outcomes|table_cell","LO1.3.12","LO1.3.12"
"doc.annexes.a2.3_learning_outcomes.table_cell.9acc9201d68f","annexes.a2.3_learning_outcomes|table_cell","Define responsibilities associated with using data collection tools.","Verantwoordelijkheden definiëren die gepaard gaan met het gebruik van hulpmiddelen voor gegevensverzameling."
"doc.annexes.a2.3_learning_outcomes.table_cell.5219599e6d56.24","annexes.a2.3_learning_outcomes|table_cell","Intermediate","Gemiddeld"
"doc.annexes.a2.3_learning_outcomes.table_cell.99a3d093575a.29","annexes.a2.3_learning_outcomes|table_cell","Knowledge","Kennis"
"doc.annexes.a2.3_learning_outcomes.table_cell.7c28f1540ccb.10","annexes.a2.3_learning_outcomes|table_cell","AI not Implicit or Explicit","AI niet impliciet of expliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ed2372d12f5","annexes.a2.3_learning_outcomes|table_cell","LO1.3.13","LO1.3.13"
"doc.annexes.a2.3_learning_outcomes.table_cell.4c602262d940","annexes.a2.3_learning_outcomes|table_cell","Identify common types of data and their formats.","Veelvoorkomende soorten gegevens en hun formaten identificeren."
"doc.annexes.a2.3_learning_outcomes.table_cell.5219599e6d56.25","annexes.a2.3_learning_outcomes|table_cell","Intermediate","Gemiddeld"
"doc.annexes.a2.3_learning_outcomes.table_cell.99a3d093575a.30","annexes.a2.3_learning_outcomes|table_cell","Knowledge","Kennis"
"doc.annexes.a2.3_learning_outcomes.table_cell.7c28f1540ccb.11","annexes.a2.3_learning_outcomes|table_cell","AI not Implicit or Explicit","AI niet impliciet of expliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.78f8498c1407","annexes.a2.3_learning_outcomes|table_cell","LO1.3.14","LO1.3.14"
"doc.annexes.a2.3_learning_outcomes.table_cell.31bf49685afd","annexes.a2.3_learning_outcomes|table_cell","Apply naming conventions to digital files and hierarchies to digital folders.","Naamgevingsconventies toepassen op digitale bestanden en hiërarchieën op digitale mappen."
"doc.annexes.a2.3_learning_outcomes.table_cell.5219599e6d56.26","annexes.a2.3_learning_outcomes|table_cell","Intermediate","Gemiddeld"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.23","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.7c28f1540ccb.12","annexes.a2.3_learning_outcomes|table_cell","AI not Implicit or Explicit","AI niet impliciet of expliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.5e974d7667cd","annexes.a2.3_learning_outcomes|table_cell","LO1.3.15","LO1.3.15"
"doc.annexes.a2.3_learning_outcomes.table_cell.45d4dd46c3c2","annexes.a2.3_learning_outcomes|table_cell","Manage, save and delete files on digital devices, external storage, and cloud services.","Bestanden beheren, opslaan en verwijderen op digitale apparaten, externe opslag en clouddiensten."
"doc.annexes.a2.3_learning_outcomes.table_cell.5219599e6d56.27","annexes.a2.3_learning_outcomes|table_cell","Intermediate","Gemiddeld"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.24","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.7c28f1540ccb.13","annexes.a2.3_learning_outcomes|table_cell","AI not Implicit or Explicit","AI niet impliciet of expliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.c93bfc380fa9","annexes.a2.3_learning_outcomes|table_cell","LO1.3.16","LO1.3.16"
"doc.annexes.a2.3_learning_outcomes.table_cell.a1aa8fe0a152","annexes.a2.3_learning_outcomes|table_cell","Manage information in one’s digital accounts, such as email.","Informatie beheren in eigen digitale accounts, zoals e-mail."
"doc.annexes.a2.3_learning_outcomes.table_cell.5219599e6d56.28","annexes.a2.3_learning_outcomes|table_cell","Intermediate","Gemiddeld"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.25","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.7c28f1540ccb.14","annexes.a2.3_learning_outcomes|table_cell","AI not Implicit or Explicit","AI niet impliciet of expliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.9cd9fd63fdd1","annexes.a2.3_learning_outcomes|table_cell","LO1.3.17","LO1.3.17"
"doc.annexes.a2.3_learning_outcomes.table_cell.fc6b75978b6f","annexes.a2.3_learning_outcomes|table_cell","Use data collection tools for simple processing of data and information such as quizzes, polls or surveys.","Hulpmiddelen voor gegevensverzameling gebruiken voor eenvoudige verwerking van gegevens en informatie, zoals quizzen, peilingen of enquêtes."
"doc.annexes.a2.3_learning_outcomes.table_cell.5219599e6d56.29","annexes.a2.3_learning_outcomes|table_cell","Intermediate","Gemiddeld"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.26","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.42","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.c58623f1e788","annexes.a2.3_learning_outcomes|table_cell","LO1.3.18","LO1.3.18"
"doc.annexes.a2.3_learning_outcomes.table_cell.b18bd795f54f","annexes.a2.3_learning_outcomes|table_cell","Organise and format data in a structured digital environment, such as in spreadsheets.","Gegevens organiseren en opmaken in een gestructureerde digitale omgeving, zoals in spreadsheets."
"doc.annexes.a2.3_learning_outcomes.table_cell.5219599e6d56.30","annexes.a2.3_learning_outcomes|table_cell","Intermediate","Gemiddeld"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.27","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.7c28f1540ccb.15","annexes.a2.3_learning_outcomes|table_cell","AI not Implicit or Explicit","AI niet impliciet of expliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.d50ee7d67753","annexes.a2.3_learning_outcomes|table_cell","LO1.3.19","LO1.3.19"
"doc.annexes.a2.3_learning_outcomes.table_cell.6aabccc24130","annexes.a2.3_learning_outcomes|table_cell","Apply basic formulas to data in a structured digital environment, such as in spreadsheets.","Basisformules toepassen op gegevens in een gestructureerde digitale omgeving, zoals in spreadsheets."
"doc.annexes.a2.3_learning_outcomes.table_cell.5219599e6d56.31","annexes.a2.3_learning_outcomes|table_cell","Intermediate","Gemiddeld"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.28","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.7c28f1540ccb.16","annexes.a2.3_learning_outcomes|table_cell","AI not Implicit or Explicit","AI niet impliciet of expliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.2d4fa866d472","annexes.a2.3_learning_outcomes|table_cell","LO1.3.20","LO1.3.20"
"doc.annexes.a2.3_learning_outcomes.table_cell.307071be3065","annexes.a2.3_learning_outcomes|table_cell","Prioritise ethical and transparent management and processing of data and information in digital environments.","Prioriteit geven aan ethisch en transparant beheer en verwerking van gegevens en informatie in digitale omgevingen."
"doc.annexes.a2.3_learning_outcomes.table_cell.19894f0a1736.10","annexes.a2.3_learning_outcomes|table_cell","Advanced","Gevorderd"
"doc.annexes.a2.3_learning_outcomes.table_cell.70d2e7904e30.11","annexes.a2.3_learning_outcomes|table_cell","Attitude","Attitude"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.43","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.ce48c379c027","annexes.a2.3_learning_outcomes|table_cell","LO1.3.21","LO1.3.21"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ef7ca18a316","annexes.a2.3_learning_outcomes|table_cell","Take account of potential sources of error or inaccuracy in management and processing of data and information in digital environments.","Rekening houden met mogelijke bronnen van fouten of onnauwkeurigheden bij het beheer en de verwerking van gegevens en informatie in digitale omgevingen."
"doc.annexes.a2.3_learning_outcomes.table_cell.19894f0a1736.11","annexes.a2.3_learning_outcomes|table_cell","Advanced","Gevorderd"
"doc.annexes.a2.3_learning_outcomes.table_cell.70d2e7904e30.12","annexes.a2.3_learning_outcomes|table_cell","Attitude","Attitude"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.44","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.f4ad34867a98","annexes.a2.3_learning_outcomes|table_cell","LO1.3.22","LO1.3.22"
"doc.annexes.a2.3_learning_outcomes.table_cell.d85b7aa82a4d","annexes.a2.3_learning_outcomes|table_cell","Identify possible sources of error or inaccuracy in information or data in digital environments.","Mogelijke bronnen van fouten of onnauwkeurigheden in informatie of gegevens in digitale omgevingen identificeren."
"doc.annexes.a2.3_learning_outcomes.table_cell.19894f0a1736.12","annexes.a2.3_learning_outcomes|table_cell","Advanced","Gevorderd"
"doc.annexes.a2.3_learning_outcomes.table_cell.99a3d093575a.31","annexes.a2.3_learning_outcomes|table_cell","Knowledge","Kennis"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.45","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.be5ff04c63d2","annexes.a2.3_learning_outcomes|table_cell","LO1.3.23","LO1.3.23"
"doc.annexes.a2.3_learning_outcomes.table_cell.636c620a237a","annexes.a2.3_learning_outcomes|table_cell","Describe the main steps in managing, processing and analysing information and data in digital environments.","De belangrijkste stappen beschrijven in het beheren, verwerken en analyseren van informatie en gegevens in digitale omgevingen."
"doc.annexes.a2.3_learning_outcomes.table_cell.19894f0a1736.13","annexes.a2.3_learning_outcomes|table_cell","Advanced","Gevorderd"
"doc.annexes.a2.3_learning_outcomes.table_cell.99a3d093575a.32","annexes.a2.3_learning_outcomes|table_cell","Knowledge","Kennis"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.46","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.de60f1bb3e38","annexes.a2.3_learning_outcomes|table_cell","LO1.3.24","LO1.3.24"
"doc.annexes.a2.3_learning_outcomes.table_cell.f44d96488119","annexes.a2.3_learning_outcomes|table_cell","Describe features of open data (examples, applications, benefits and limitations).","Kenmerken van open data beschrijven (voorbeelden, toepassingen, voordelen en beperkingen)."
"doc.annexes.a2.3_learning_outcomes.table_cell.19894f0a1736.14","annexes.a2.3_learning_outcomes|table_cell","Advanced","Gevorderd"
"doc.annexes.a2.3_learning_outcomes.table_cell.99a3d093575a.33","annexes.a2.3_learning_outcomes|table_cell","Knowledge","Kennis"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.47","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.637b8686f655","annexes.a2.3_learning_outcomes|table_cell","LO1.3.25","LO1.3.25"
"doc.annexes.a2.3_learning_outcomes.table_cell.63d471f826f5","annexes.a2.3_learning_outcomes|table_cell","Describe features of big data (examples, applications, benefits and limitations).","Kenmerken van big data beschrijven (voorbeelden, toepassingen, voordelen en beperkingen)."
"doc.annexes.a2.3_learning_outcomes.table_cell.19894f0a1736.15","annexes.a2.3_learning_outcomes|table_cell","Advanced","Gevorderd"
"doc.annexes.a2.3_learning_outcomes.table_cell.99a3d093575a.34","annexes.a2.3_learning_outcomes|table_cell","Knowledge","Kennis"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.48","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.9432b2e95f77","annexes.a2.3_learning_outcomes|table_cell","LO1.3.26","LO1.3.26"
"doc.annexes.a2.3_learning_outcomes.table_cell.33a98514269d","annexes.a2.3_learning_outcomes|table_cell","Apply a variety of functions to transfer and manage data and information in digital environments.","Verschillende functies toepassen om gegevens en informatie over te dragen en te beheren in digitale omgevingen."
"doc.annexes.a2.3_learning_outcomes.table_cell.19894f0a1736.16","annexes.a2.3_learning_outcomes|table_cell","Advanced","Gevorderd"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.29","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.49","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.8006e33abc41","annexes.a2.3_learning_outcomes|table_cell","LO1.3.27","LO1.3.27"
"doc.annexes.a2.3_learning_outcomes.table_cell.061e5d0556b8","annexes.a2.3_learning_outcomes|table_cell","Use a range of digital tools and methods to collect and process a variety of data and information.","Een scala aan digitale hulpmiddelen en methoden gebruiken om uiteenlopende gegevens en informatie te verzamelen en te verwerken."
"doc.annexes.a2.3_learning_outcomes.table_cell.19894f0a1736.17","annexes.a2.3_learning_outcomes|table_cell","Advanced","Gevorderd"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.30","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.50","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.833f25040b30","annexes.a2.3_learning_outcomes|table_cell","LO1.3.28","LO1.3.28"
"doc.annexes.a2.3_learning_outcomes.table_cell.40e93c88bc11","annexes.a2.3_learning_outcomes|table_cell","Apply appropriate analysis of information and data in digital environments to contribute to complex decision-making.","Passende analyses van informatie en gegevens in digitale omgevingen toepassen om bij te dragen aan complexe besluitvorming."
"doc.annexes.a2.3_learning_outcomes.table_cell.19894f0a1736.18","annexes.a2.3_learning_outcomes|table_cell","Advanced","Gevorderd"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.31","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.51","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.351f5338960c","annexes.a2.3_learning_outcomes|table_cell","LO1.3.29","LO1.3.29"
"doc.annexes.a2.3_learning_outcomes.table_cell.82921cd6e459","annexes.a2.3_learning_outcomes|table_cell","Assist others with data and information management, processing and analysis in digital environments.","Anderen helpen bij het beheer, de verwerking en de analyse van gegevens en informatie in digitale omgevingen."
"doc.annexes.a2.3_learning_outcomes.table_cell.19894f0a1736.19","annexes.a2.3_learning_outcomes|table_cell","Advanced","Gevorderd"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.32","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.52","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.f324eb2a4874","annexes.a2.3_learning_outcomes|table_cell","LO1.3.30","LO1.3.30"
