"location","context","source","target"
"digcomp.glossary.data_removal_rights.definition","Glossary definition for Data removal rights","In the General Data Protection Regulation (GDPR, 2018), data removal rights are referred to as 'right to erasure' or 'right to be forgotten'. These rights allow individuals to ask for their data to be deleted, and the entity holding that data has an obligation to do so, with some exceptions (i.e. if the data is needed to exercise the right of freedom of expression; there is a legal obligation to keep that data; or if it is in the public interest).","In de Algemene Verordening Gegevensbescherming (AVG, 2018) wordt naar het recht op gegevenswissing verwezen als het 'recht op vergetelheid'. Deze rechten staan individuen toe om te vragen dat hun gegevens worden verwijderd, en de entiteit die die gegevens bewaart, heeft de verplichting om dit te doen, met enkele uitzonderingen (bijv. als de gegevens nodig zijn om het recht op vrijheid van meningsuiting uit te oefenen; er een wettelijke verplichting is om die gegevens te bewaren; of als het in het algemeen belang is)."
"digcomp.glossary.data_restoration.label","Glossary term","Data restoration","Gegevensherstel"
"digcomp.glossary.data_restoration.definition","Glossary definition for Data restoration","A process of retrieving deleted, inaccessible, lost, corrupted, damaged, or overwritten data from secondary storage, removable media or files, when the data stored in them cannot be accessed in a usual way. Also referred to as data recovery.","Een proces voor het ophalen van verwijderde, ontoegankelijke, verloren, corrupte, beschadigde of overschreven gegevens van secundaire opslag, verwijderbare media of bestanden, wanneer de daarop opgeslagen gegevens niet op de gebruikelijke manier toegankelijk zijn. Ook wel dataherstel genoemd."
"digcomp.glossary.de-bunking.label","Glossary term","De-bunking","Ontkrachten"
"digcomp.glossary.de-bunking.definition","Glossary definition for De-bunking","The process of exposing inaccuracies, false information or myths in various theories, beliefs, or claims. It involves analysing evidence critically, disproving misconceptions, and revealing the truth or factual information about a certain topic or subject.","Het proces van het blootleggen van onjuistheden, valse informatie of mythen in verschillende theorieën, overtuigingen of beweringen. Het omvat het kritisch analyseren van bewijsmateriaal, het weerleggen van misvattingen en het onthullen van de waarheid of feitelijke informatie over een bepaald onderwerp."
"digcomp.glossary.deceptive_patterns.label","Glossary term","Deceptive patterns","Misleidende patronen"
"digcomp.glossary.deceptive_patterns.definition","Glossary definition for Deceptive patterns","Unfair practices deployed through the structure, design or functionalities of digital interfaces or system architecture that can influence individuals to make decisions they would not have taken otherwise. Also (and formerly) referred to as dark patterns.","Oneerlijke praktijken die worden toegepast via de structuur, het ontwerp of de functionaliteiten van digitale interfaces of systeemarchitectuur die individuen kunnen beïnvloeden om beslissingen te nemen die ze anders niet zouden hebben genomen. Ook (en voorheen) 'dark patterns' genoemd."
"digcomp.glossary.deep-fake.label","Glossary term","Deep-fake","Deepfake"
"digcomp.glossary.deep-fake.definition","Glossary definition for Deep-fake","Generated or manipulated image, audio or video content that resembles existing persons, objects, places, entities or events and would falsely appear to a person to be authentic or truthful.","Gegenereerde of gemanipuleerde beeld-, audio- of video-inhoud die lijkt op bestaande personen, objecten, plaatsen, entiteiten of gebeurtenissen en die voor een persoon ten onrechte authentiek of waarheidsgetrouw zou lijken."
"digcomp.glossary.design_thinking.label","Glossary term","Design thinking","Design thinking"
"digcomp.glossary.design_thinking.definition","Glossary definition for Design thinking","An approach to problem-solving and innovation focused on human-centered design, involving four phases (clarify, ideate, develop, and implement).","Een aanpak voor probleemoplossing en innovatie die gericht is op mensgericht ontwerp, met vier fasen (verhelderen, ideeën genereren, ontwikkelen en implementeren)."
"digcomp.glossary.digital_assistance_tool.label","Glossary term","Digital assistance tool","Digitale ondersteuningstool"
"digcomp.glossary.digital_assistance_tool.definition","Glossary definition for Digital assistance tool","Digital technology that assists or supports an individual with the implementation of a task. In DigComp 3.0, digital assistance tools refer to functionalities embedded within software; platforms or services (such as automatic translation of online content, meeting note-taking functionality, voice-to-text and text-to-voice functionality); software or services that perform an assistive function (such as machine translation of text documents); and digital assistants (virtual assistants) (which answer users questions and perform simple tasks). Many of these rely on features of AI systems for some or most of their functions.","Digitale technologie die een individu assisteert of ondersteunt bij de uitvoering van een taak. In DigComp 3.0 verwijzen digitale ondersteuningstools naar functionaliteiten die zijn ingebed in software, platforms of diensten (zoals automatische vertaling van online inhoud, functionaliteit voor het maken van notities bij vergaderingen, spraak-naar-tekst en tekst-naar-spraak functionaliteit); software of diensten die een ondersteunende functie vervullen (zoals machinevertaling van tekstdocumenten); en digitale assistenten (virtuele assistenten) (die vragen van gebruikers beantwoorden en eenvoudige taken uitvoeren). Veel van deze maken gebruik van functies van AI-systemen voor sommige of de meeste van hun functies."
"digcomp.glossary.digital_citizenship.label","Glossary term","Digital citizenship","Digitaal burgerschap"
"digcomp.glossary.digital_citizenship.definition","Glossary definition for Digital citizenship","the capacity to participate actively, continuously and responsibly in communities online and offline, through competent and positive engagement with digital technologies.","Het vermogen om actief, continu en verantwoordelijk deel te nemen aan online en offline gemeenschappen, door middel van competente en positieve betrokkenheid bij digitale technologieën."
"digcomp.glossary.digital_collaboration_tool.label","Glossary term","Digital collaboration tool","Tool voor digitale samenwerking"
"digcomp.glossary.digital_collaboration_tool.definition","Glossary definition for Digital collaboration tool","Digital technologies that are designed to help people working on a common task to attain their goals. Such tools include collaborative communication, document collaboration, project management, workflow, and knowledge management.","Digitale technologieën die zijn ontworpen om mensen die aan een gezamenlijke taak werken te helpen hun doelen te bereiken. Dergelijke tools omvatten collaboratieve communicatie, samenwerking aan documenten, projectbeheer, workflow en kennisbeheer."
"digcomp.glossary.digital_communication.label","Glossary term","Digital communication","Digitale communicatie"
"digcomp.glossary.digital_communication.definition","Glossary definition for Digital communication","Communication using digital technologies. Various modes of communication exist, e.g. synchronous communication (real time communication) and asynchronous ones (not concurrent communication) and can be in one-to-one, one-to-many, or many-to-many modes.","Communicatie met behulp van digitale technologieën. Er bestaan verschillende vormen van communicatie, bijv. synchrone communicatie (realtime communicatie) en asynchrone (niet-gelijktijdige communicatie) en deze kunnen plaatsvinden in de vormen één-op-één, één-op-veel of veel-op-veel."
"digcomp.glossary.digital_communication_tool.label","Glossary term","Digital communication tool","Digitale communicatietool"
"digcomp.glossary.digital_communication_tool.definition","Glossary definition for Digital communication tool","Digital technologies that are designed to facilitate digital communication. They include instant messaging, video conferencing, email, communication functions in social media and digital collaboration tools, and communication functions in digital platforms and services such as in e-learning and online customer support.","Digitale technologieën die zijn ontworpen om digitale communicatie te vergemakkelijken. Ze omvatten instant messaging, videoconferenties, e-mail, communicatiefuncties in sociale media en digitale samenwerkingstools, en communicatiefuncties in digitale platforms en diensten zoals in e-learning en online klantondersteuning."
"digcomp.glossary.digital_content.label","Glossary term","Digital content","Digitale inhoud"
"digcomp.glossary.digital_content.definition","Glossary definition for Digital content","A wide range of information and data (which can include, for example, computer programs, apps, games, music, videos or texts) that can be created, stored, processed, shared and accessed using digital devices. It includes digital blueprints that can result in physical creations of digitally-represented objects, such as 3D printing outputs.","Een breed scala aan informatie en gegevens (waaronder bijvoorbeeld computerprogramma's, apps, games, muziek, video's of teksten) die kunnen worden gemaakt, opgeslagen, verwerkt, gedeeld en geraadpleegd met behulp van digitale apparaten. Het omvat digitale blauwdrukken die kunnen resulteren in fysieke creaties van digitaal gerepresenteerde objecten, zoals 3D-printoutputs."
"digcomp.glossary.digital_content_creation_tool.label","Glossary term","Digital content creation tool","Tool voor het maken van digitale inhoud"
"digcomp.glossary.digital_content_creation_tool.definition","Glossary definition for Digital content creation tool","Digital technologies that are designed to enable the creation, editing and integration of digital content. These include text, image, video and audio processing and editing software, 3D modelling software, AI systems, particularly generative AI, and content creation online such as in social media, podcasts and websites.","Digitale technologieën die zijn ontworpen om het maken, bewerken en integreren van digitale inhoud mogelijk te maken. Deze omvatten software voor tekst-, beeld-, video- en audioverwerking en -bewerking, 3D-modelleringssoftware, AI-systemen, in het bijzonder generatieve AI, en contentcreatie online zoals in sociale media, podcasts en websites."
"digcomp.glossary.digital_device.label","Glossary term","Digital device","Digitaal apparaat"
"digcomp.glossary.digital_device.definition","Glossary definition for Digital device","A unit of equipment that contains a computer or microcontroller. Common digital devices include laptop computers, desktop computers, smartphones, tablets, smartwatches and smart TVs.","Een apparaat dat een computer of microcontroller bevat. Veelvoorkomende digitale apparaten zijn laptopcomputers, desktopcomputers, smartphones, tablets, smartwatches en smart-tv's."
"digcomp.glossary.digital_environment.label","Glossary term","Digital environment","Digitale omgeving"
"digcomp.glossary.digital_environment.definition","Glossary definition for Digital environment","A context, or a 'place', that is enabled by technology and digital devices, often transmitted over the internet, or other digital means, e.g. mobile phone network. Records and evidence of an individual’s interaction with a digital environment constitute their digital footprint. In DigComp 3.0, the term digital environment is used as a backdrop for digital actions without naming a specific technology or tool.","Een context, of een 'plaats', die mogelijk wordt gemaakt door technologie en digitale apparaten, vaak overgebracht via het internet of andere digitale middelen, bijv. het mobiele telefoonnetwerk. Gegevens en bewijzen van de interactie van een individu met een digitale omgeving vormen hun digitale voetafdruk. In DigComp 3.0 wordt de term digitale omgeving gebruikt als achtergrond voor digitale acties zonder een specifieke technologie of tool te noemen."
"digcomp.glossary.digital_exclusion.label","Glossary term","Digital exclusion","Digitale uitsluiting"
"digcomp.glossary.digital_exclusion.definition","Glossary definition for Digital exclusion","Marginalisation of an individual – or of a group – deprived of full access and capacity to use information and communications technologies (ICT), which hinders their participation in the economic, social, and political life of the society. Four main factors lead to digital exclusion: limited access to digital technologies, both physical and financial; lack of motivation, including understanding the benefits of digital technologies; limited digital competence; and lack of confidence or trust, including regarding online security.","Marginalisering van een individu – of van een groep – die verstoken blijft van volledige toegang tot en capaciteit om informatie- en communicatietechnologieën (ICT) te gebruiken, wat hun deelname aan het economische, sociale en politieke leven van de samenleving belemmert. Vier belangrijke factoren leiden tot digitale uitsluiting: beperkte toegang tot digitale technologieën, zowel fysiek als financieel; gebrek aan motivatie, inclusief het begrijpen van de voordelen van digitale technologieën; beperkte digitale competentie; en gebrek aan vertrouwen, onder meer met betrekking tot online veiligheid."
"digcomp.glossary.digital_footprint.label","Glossary term","Digital footprint","Digitale voetafdruk"
"digcomp.glossary.digital_footprint.definition","Glossary definition for Digital footprint","The history of a person's usage of digital devices, which includes, among others, web pages downloaded, websites logged into, text, chat and social media messages sent, links clicked and social media pages liked. This information is widely used to target ads to consumers. Also referred to as a digital fingerprint.","De geschiedenis van het gebruik van digitale apparaten door een persoon, waaronder onder andere gedownloade webpagina's, websites waarbij is ingelogd, verzonden tekst-, chat- en sociale mediaberichten, aangeklikte links en gelikete sociale mediapagina's. Deze informatie wordt veel gebruikt om advertenties op consumenten te richten. Ook wel digitale vingerafdruk genoemd."
