"location","context","source","target"
"digcomp.competence.2.2.description","Competence 2.2 – description","To share information and content ethically and responsibly with others through appropriate digital technologies.","Informatie en inhoud op een ethische en verantwoorde manier delen met anderen via passende digitale technologieën."
"digcomp.competence.2.3.label","Competence 2.3 – label","Engaging in citizenship through digital technologies","Betrokkenheid bij burgerschap via digitale technologieën"
"digcomp.competence.2.3.description","Competence 2.3 – description","To participate in society through the ethical and responsible use of digital platforms and services. To seek opportunities for self-empowerment and participation through appropriate digital technologies. To be aware of and assert one's rights, and to exercise choice, in digital environments.","Deelnemen aan de samenleving door het ethisch en verantwoord gebruik van digitale platforms en diensten. Mogelijkheden zoeken voor zelfontplooiing en participatie via passende digitale technologieën. Je bewust zijn van je rechten en deze opeisen, en keuzes maken in digitale omgevingen."
"digcomp.competence.2.4.label","Competence 2.4 – label","Collaborating through digital technologies","Samenwerken via digitale technologieën"
"digcomp.competence.2.4.description","Competence 2.4 – description","To use digital technologies ethically and responsibly for collaborative purposes, and for the co-construction and co-creation of information, resources and knowledge.","Digitale technologieën ethisch en verantwoord gebruiken voor samenwerking, en voor de gezamenlijke opbouw en creatie van informatie, bronnen en kennis."
"digcomp.competence.2.5.label","Competence 2.5 – label","Digital behaviour","Digitaal gedrag"
"digcomp.competence.2.5.description","Competence 2.5 – description","To be aware of behavioural norms, and to know how to behave respectfully while using digital technologies and interacting in digital environments. To adapt communication to specific contexts, and to be aware of and respect cultural, generational and other diversity in digital environments.","Je bewust zijn van gedragsnormen en weten hoe je je respectvol moet gedragen bij het gebruik van digitale technologieën en interactie in digitale omgevingen. Communicatie aanpassen aan specifieke contexten en aandacht hebben voor culturele, generationele en andere diversiteit in digitale omgevingen."
"digcomp.competence.2.6.label","Competence 2.6 – label","Managing digital identity","Digitale identiteit beheren"
"digcomp.competence.2.6.description","Competence 2.6 – description","To manage one or multiple digital identities. To take actions to help protect one’s digital reputation (how one is perceived based on online presence), and to manage one's digital footprint (the data that is produced through use of and by digital platforms and services).","Het beheren van één of meerdere digitale identiteiten. Acties ondernemen om je digitale reputatie te beschermen (hoe je wordt waargenomen op basis van online aanwezigheid) en je digitale voetafdruk beheren (de gegevens die worden geproduceerd door het gebruik van digitale platforms en diensten)."
"digcomp.area.3.label","Competence area 3 – label","Content creation","Contentcreatie"
"digcomp.area.3.description","Competence area 3 – description","To create and edit digital content. To improve and integrate information and content into an existing body of knowledge while understanding how copyright and licences are to be applied, adopting an ethical and responsible approach in the creation, improvement and integration of digital content. To know how to apply computational thinking and programming techniques to give instructions to a computer system.","Het creëren en bewerken van digitale inhoud. Het verbeteren en integreren van informatie en inhoud in een bestaand geheel van kennis, met begrip van hoe auteursrecht en licenties moeten worden toegepast. Een ethische en verantwoordelijke aanpak hanteren bij het creëren, verbeteren en integreren van digitale inhoud. Weten hoe computationeel denken en programmeertechnieken moeten worden toegepast om instructies te geven aan een computersysteem."
"digcomp.competence.3.1.label","Competence 3.1 – label","Developing digital content","Digitale inhoud ontwikkelen"
"digcomp.competence.3.1.description","Competence 3.1 – description","To use digital technologies ethically and responsibly to create and edit a variety of content. To express oneself through digital means.","Digitale technologieën op een ethische en verantwoorde manier gebruiken om uiteenlopende inhoud te creëren en te bewerken. Jezelf uitdrukken via digitale middelen."
"digcomp.competence.3.2.label","Competence 3.2 – label","Integrating and re-elaborating digital content","Integreren en herwerken van digitale inhoud"
"digcomp.competence.3.2.description","Competence 3.2 – description","To modify, refine and integrate new information and content into existing knowledge and resources to create new and original content and knowledge.","Nieuwe informatie en inhoud aanpassen, verfijnen en integreren in bestaande kennis en bronnen om nieuwe en originele inhoud en kennis te creëren."
"digcomp.competence.3.3.label","Competence 3.3 – label","Copyright and licences","Auteursrecht en licenties"
"digcomp.competence.3.3.description","Competence 3.3 – description","To understand how copyright and licences, as well as associated legal and ethical issues, apply to digital content, and how to correctly apply them.","Begrijpen hoe auteursrecht en licenties, evenals de bijbehorende juridische en ethische kwesties, van toepassing zijn op digitale inhoud, en hoe deze correct moeten worden toegepast."
"digcomp.competence.3.4.label","Competence 3.4 – label","Computational thinking and programming","Computationeel denken en programmeren"
"digcomp.competence.3.4.description","Competence 3.4 – description","To understand and implement steps to analyse a problem, recognise sub-problems, and plan and develop a sequence of instructions for a computing system to solve a given problem or to perform a specific task.","Stappen begrijpen en uitvoeren om een probleem te analyseren, deelproblemen te herkennen en een reeks instructies te plannen en te ontwikkelen voor een computersysteem om een bepaald probleem op te lossen of een specifieke taak uit te voeren."
"digcomp.area.4.label","Competence area 4 – label","Safety, wellbeing and responsible use","Veiligheid, welzijn en verantwoord gebruik"
"digcomp.area.4.description","Competence area 4 – description","To protect devices, content, personal data and privacy in digital environments. To support physical, mental and social wellbeing of oneself and others, and to be aware of the benefits and risks of digital technologies for wellbeing and social inclusion. To be aware of the environmental impact of digital technologies and their use, to take action to reduce such impact, and to use digital technologies to support sustainability.","Het beschermen van apparaten, inhoud, persoonsgegevens en privacy in digitale omgevingen. Het ondersteunen van het fysieke, mentale en sociale welzijn van jezelf en anderen, en je bewust zijn van de voordelen en risico's van digitale technologieën voor welzijn en sociale inclusie. Je bewust zijn van de milieueffecten van digitale technologieën en het gebruik ervan, actie ondernemen om deze impact te beperken en digitale technologieën gebruiken om duurzaamheid te ondersteunen."
"digcomp.competence.4.1.label","Competence 4.1 – label","Protecting devices","Apparaten beschermen"
"digcomp.competence.4.1.description","Competence 4.1 – description","To apply safety and cybersecurity measures in order to protect digital devices and content. To be aware of the evolving nature of risks and threats in digital environments, and to have due regard to security of digital devices and their contents.","Veiligheids- en cybersecuritymaatregelen toepassen om digitale apparaten en inhoud te beschermen. Je bewust zijn van de veranderende aard van risico's en bedreigingen in digitale omgevingen, en gepaste aandacht hebben voor de beveiliging van digitale apparaten en hun inhoud."
"digcomp.competence.4.2.label","Competence 4.2 – label","Protecting personal data and privacy","Persoonsgegevens en privacy beschermen"
"digcomp.competence.4.2.description","Competence 4.2 – description","To be aware of and exercise one’s rights in relation to personal data and privacy in digital environments. To evaluate and manage privacy risks and protect personal data and privacy in digital environments. To use and share one's own and others' personal data safely, ethically and responsibly.","Je bewust zijn van je rechten met betrekking tot persoonsgegevens en privacy in digitale omgevingen en deze uitoefenen. Privacyrisico's evalueren en beheren en persoonsgegevens en privacy in digitale omgevingen beschermen. Je eigen persoonsgegevens en die van anderen op een veilige, ethische en verantwoorde manier gebruiken en delen."
"digcomp.competence.4.3.label","Competence 4.3 – label","Supporting wellbeing","Welzijn ondersteunen"
"digcomp.competence.4.3.description","Competence 4.3 – description","To use digital technologies in ways that support wellbeing and inclusion. To minimise risks and threats to physical, mental and social wellbeing of oneself and others while using digital technologies. To balance usage of digital technologies with offline activities to support wellbeing. To take action to help protect oneself and others from possible dangers in digital environments (e.g. cyberbullying, harmful content), and know how to respond to such dangers.","Digitale technologieën gebruiken op manieren die welzijn en inclusie ondersteunen. Risico's en bedreigingen voor het fysieke, mentale en sociale welzijn van jezelf en anderen minimaliseren bij het gebruik van digitale technologieën. Het gebruik van digitale technologieën in evenwicht brengen met offline activiteiten om welzijn te ondersteunen. Actie ondernemen om jezelf en anderen te beschermen tegen mogelijke gevaren in digitale omgevingen (bijv. cyberpesten, schadelijke inhoud), en weten hoe op dergelijke gevaren te reageren."
"digcomp.competence.4.4.label","Competence 4.4 – label","Environmental impacts of digital technologies","Milieueffecten van digitale technologieën"
"digcomp.competence.4.4.description","Competence 4.4 – description","To be aware of the environmental impacts of digital technologies, including device production, operation, repair, recycling, disposal, data storage infrastructure, energy consumption and usage of tools and applications. To take action to reduce such impact and to use digital technologies to support sustainability.","Je bewust zijn van de milieueffecten van digitale technologieën, waaronder de productie van apparaten, het gebruik, de reparatie, recycling, verwijdering, infrastructuur voor gegevensopslag, energieverbruik en het gebruik van middelen en applicaties. Actie ondernemen om deze impact te beperken en digitale technologieën gebruiken om duurzaamheid te ondersteunen."
"digcomp.area.5.label","Competence area 5 – label","Problem identification and solving","Probleemidentificatie en -oplossing"
"digcomp.area.5.description","Competence area 5 – description","To identify and assess needs, and to use digital technologies and adapt digital environments to meet these needs. To identify and resolve technical and conceptual problems and problem situations in digital environments. To use digital technologies to make improvements in, or new solutions for, processes and products. To build capabilities to operate autonomously in digital environments. To stay informed about digital technological developments and their implications.","Behoeften identificeren en beoordelen, en digitale technologieën gebruiken en digitale omgevingen aanpassen om aan deze behoeften te voldoen. Technische en conceptuele problemen en probleemsituaties in digitale omgevingen identificeren en oplossen. Digitale technologieën gebruiken om verbeteringen aan te brengen in, of nieuwe oplossingen te vinden voor, processen en producten. Bekwaamheden opbouwen om autonoom te functioneren in digitale omgevingen. Op de hoogte blijven van digitale technologische ontwikkelingen en de gevolgen daarvan."
"digcomp.competence.5.1.label","Competence 5.1 – label","Identifying and solving technical problems","Technische problemen identificeren en oplossen"
"digcomp.competence.5.1.description","Competence 5.1 – description","To identify technical problems when operating digital devices and in digital environments, and to solve them through a variety of means.","Technische problemen identificeren bij het bedienen van digitale apparaten en in digitale omgevingen, en deze op verschillende manieren oplossen."
"digcomp.competence.5.2.label","Competence 5.2 – label","Identifying needs and digital technological responses","Behoeften en digitale technologische antwoorden identificeren"
"digcomp.competence.5.2.description","Competence 5.2 – description","To assess one's own and others' needs and to evaluate, select, use and adapt digital technologies to meet these needs. To adjust and customise digital environments to the contexts, goals and needs (e.g. accessibility) of oneself and others.","Behoeften van jezelf en anderen beoordelen en digitale technologieën evalueren, selecteren, gebruiken en aanpassen om aan deze behoeften te voldoen. Digitale omgevingen aanpassen en personaliseren aan de context, doelen en behoeften (bijv. toegankelijkheid) van jezelf en anderen."
"digcomp.competence.5.3.label","Competence 5.3 – label","Identifying creative solutions using digital technologies","Creatieve oplossingen identificeren met behulp van digitale technologieën"
"digcomp.competence.5.3.description","Competence 5.3 – description","To use digital technologies to make improvements in or new solutions for processes and products, using a human-centric approach. To engage individually and collectively in critical thinking processes, and the creative and purposeful use of digital technologies, to understand and resolve conceptual problems and problem situations.","Digitale technologieën gebruiken om verbeteringen aan te brengen in of nieuwe oplossingen te vinden voor processen en producten, vanuit een mensgerichte benadering. Individueel en collectief deelnemen aan kritische denkprocessen en het creatief en doelgericht gebruik van digitale technologieën, om conceptuele problemen en probleemsituaties te begrijpen en op te lossen."
"digcomp.competence.5.4.label","Competence 5.4 – label","Identifying and addressing digital competence needs","Behoeften aan digitale competenties identificeren en aanpakken"
"digcomp.competence.5.4.description","Competence 5.4 – description","To recognise where one’s own digital competence needs to be improved or updated. To address digital competence needs within a broader process of lifelong learning, building capacity and autonomy. To support others with their digital competence development. To stay informed about digital technological developments and their personal, professional and societal implications.","Herkennen waar de eigen digitale competentie verbeterd of geactualiseerd moet worden. Behoeften aan digitale competenties aanpakken binnen een breder proces van een leven lang leren, en bekwaamheid en autonomie opbouwen. Anderen ondersteunen bij de ontwikkeling van hun digitale competenties. Op de hoogte blijven van digitale technologische ontwikkelingen en de persoonlijke, professionele en maatschappelijke gevolgen daarvan."
